ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688065.SH,2023-01-03,60.97,62.88,60.97,62.6,61.29,1.31,2.1374,9450.55,58946.613,0.3583,1.09,60.0653,3.3556,3651321.5007
688065.SH,2023-01-04,62.52,62.97,61.34,61.51,62.6,-1.09,-1.7412,7784.9,48213.358,0.2952,0.94,59.0194,3.2972,3587744.1774
688065.SH,2023-01-05,61.51,63.15,61.51,62.86,61.51,1.35,2.1948,8960.27,56115.684,0.3397,1.16,60.3148,3.3695,3666486.7338
688065.SH,2023-01-06,63.03,63.14,61.86,62.08,62.86,-0.78,-1.2409,9104.46,56858.012,0.3452,1.26,59.5663,3.3277,3620991.0346
688065.SH,2023-01-09,62.49,62.86,61.97,62.15,62.08,0.07,0.1128,6535.01,40774.761,0.2478,0.8,59.6335,3.3315,3625073.9819
688065.SH,2023-01-10,62.0,62.29,61.15,61.29,62.15,-0.86,-1.3837,6404.95,39425.361,0.2428,0.77,58.8083,3.2854,3574912.0572
688065.SH,2023-01-11,61.3,61.57,59.6,60.03,61.29,-1.26,-2.0558,12854.41,77674.515,0.4874,1.66,57.5994,3.2178,3501419.0046
688065.SH,2023-01-12,60.16,60.48,58.79,59.53,60.03,-0.5,-0.8329,10420.84,61925.878,0.3951,1.19,57.1196,3.191,3472255.0948
688065.SH,2023-01-13,59.31,60.19,59.02,60.0,59.53,0.47,0.7895,9698.65,57747.019,0.3677,1.07,57.5706,3.2162,3499669.17
688065.SH,2023-01-16,60.9,65.98,60.54,65.05,60.0,5.05,8.4167,28241.85,180606.829,1.0708,3.08,62.4161,3.4869,3794224.6585
688065.SH,2023-01-17,65.09,66.74,64.41,65.7,65.05,0.65,0.9992,13603.8,89506.021,0.5158,1.01,63.0398,3.5218,3832137.7412
688065.SH,2023-01-18,65.92,66.48,64.95,65.2,65.7,-0.5,-0.761,11553.93,75775.57,0.4381,0.77,62.56,3.495,3802973.8314
688065.SH,2023-01-19,66.0,66.0,64.22,65.79,65.2,0.59,0.9049,9840.84,64324.997,0.3731,0.67,63.1261,3.5266,3837387.2449
688065.SH,2023-01-20,65.88,66.75,65.5,65.92,65.79,0.13,0.1976,6982.18,46015.946,0.2647,0.48,63.2509,3.5335,3844969.8614
688065.SH,2023-01-30,66.25,67.1,66.0,66.0,65.92,0.08,0.1214,9230.77,61443.214,0.35,0.66,63.3276,3.5378,3849636.087
688065.SH,2023-01-31,66.33,66.75,65.14,65.32,66.0,-0.68,-1.0303,6552.99,43094.223,0.2485,0.64,62.6752,3.5014,3809973.1697
688065.SH,2023-02-01,65.97,68.0,65.31,67.98,65.32,2.66,4.0723,16467.2,110576.582,0.6243,1.86,65.2275,3.644,3965125.1696
688065.SH,2023-02-02,68.27,69.7,67.01,68.11,67.98,0.13,0.1912,12874.61,88198.835,0.4881,1.31,65.3522,3.6509,3972707.7861
688065.SH,2023-02-03,68.65,68.65,66.35,67.1,68.11,-1.01,-1.4829,9138.87,61252.319,0.3465,0.88,64.3831,3.5968,3913796.6885
688065.SH,2023-02-06,67.0,67.68,65.65,66.93,67.1,-0.17,-0.2534,12751.75,85290.371,0.4835,1.17,64.22,3.5877,3903880.9591
688065.SH,2023-02-07,66.88,67.26,65.88,66.1,66.93,-0.83,-1.2401,8016.52,53092.12,0.3039,0.69,63.4236,3.5432,3855468.869
688065.SH,2023-02-08,66.29,66.29,65.32,65.8,66.1,-0.3,-0.4539,6762.93,44480.706,0.2564,0.57,63.1357,3.5271,3837970.5231
688065.SH,2023-02-09,65.6,69.2,65.11,68.73,65.8,2.93,4.4529,17373.23,118562.163,0.6587,1.75,65.9471,3.6842,4008871.0342
688065.SH,2023-02-10,68.73,70.17,68.3,69.64,68.73,0.91,1.324,14370.24,99775.288,0.5448,1.33,66.8202,3.733,4061949.35
688065.SH,2023-02-13,70.04,70.87,68.06,68.6,69.64,-1.04,-1.4934,15416.2,106260.041,0.5845,1.3,65.8223,3.6772,4001288.4177
688065.SH,2023-02-14,68.88,68.98,67.88,68.48,68.6,-0.12,-0.1749,6641.38,45352.422,0.2518,0.54,65.7072,3.6708,3994289.0794
688065.SH,2023-02-15,68.49,68.99,67.17,67.27,68.48,-1.21,-1.7669,9232.94,62532.993,0.3501,0.76,64.5462,3.6059,3923712.4178
688065.SH,2023-02-16,67.25,68.09,64.97,65.8,67.27,-1.47,-2.1852,17313.61,115371.109,0.6564,1.37,63.1357,3.5271,3837970.5231
688065.SH,2023-02-17,65.8,67.3,65.67,65.69,65.8,-0.11,-0.1672,9500.36,62839.447,0.3602,0.75,63.0302,3.5212,3831554.463
688065.SH,2023-02-20,65.68,67.19,64.46,66.79,65.69,1.1,1.6745,11827.04,78118.588,0.4484,1.02,64.0856,3.5802,3895715.0644
688065.SH,2023-02-21,66.78,67.5,65.8,66.5,66.79,-0.29,-0.4342,7260.74,48257.797,0.2753,0.67,63.8074,3.5646,3878799.9968
688065.SH,2023-02-22,66.02,66.51,65.62,66.3,66.5,-0.2,-0.3008,8403.77,55462.246,0.3186,0.76,63.6155,3.5539,3867134.4329
688065.SH,2023-02-23,65.86,69.33,65.86,67.56,66.3,1.26,1.9005,14008.56,95194.436,0.5311,1.29,64.8245,3.6215,3940627.4854
688065.SH,2023-02-24,68.09,68.09,65.08,65.16,67.56,-2.4,-3.5524,22191.62,146225.454,0.8414,2.18,62.5216,3.4928,3800640.7186
688065.SH,2023-02-27,64.93,66.29,64.58,65.33,65.16,0.17,0.2609,10255.1,67280.475,0.3888,0.81,62.6848,3.5019,3810556.4479
688065.SH,2023-02-28,65.1,65.5,64.65,65.31,65.33,-0.02,-0.0306,8776.56,56988.468,0.3328,0.71,62.6656,3.5009,3809389.8915
688065.SH,2023-03-01,65.34,65.95,65.02,65.89,65.31,0.58,0.8881,6909.77,45296.82,0.262,0.54,63.2221,3.5319,3843220.0269
688065.SH,2023-03-02,65.8,66.33,65.6,66.05,65.89,0.16,0.2428,6895.83,45514.023,0.2614,0.55,63.3756,3.5405,3852552.478
688065.SH,2023-03-03,65.96,66.49,65.07,65.8,66.05,-0.25,-0.3785,7454.84,49030.959,0.2826,0.68,63.1357,3.5271,3837970.5231
688065.SH,2023-03-06,66.19,66.55,65.51,66.41,65.8,0.61,0.9271,7320.78,48444.501,0.2776,0.91,63.721,3.5598,3873550.493
688065.SH,2023-03-07,66.37,66.72,64.86,65.0,66.41,-1.41,-2.1232,8191.42,53813.66,0.3106,1.1,62.3681,3.4842,3791308.2675
688065.SH,2023-03-08,64.86,64.86,61.95,62.82,65.0,-2.18,-3.3538,17677.46,111406.124,0.6702,2.4,60.2764,3.3674,3664153.621
688065.SH,2023-03-09,62.7,63.6,62.44,62.45,62.82,-0.37,-0.589,10476.66,65923.706,0.3972,1.1,59.9214,3.3475,3642572.3278
688065.SH,2023-03-10,62.02,62.78,61.69,61.77,62.45,-0.68,-1.0889,9192.96,57118.602,0.3485,0.9,59.2689,3.3111,3602909.4105
688065.SH,2023-03-13,61.4,62.2,60.57,60.9,61.77,-0.87,-1.4085,9125.92,55719.79,0.346,0.86,58.4341,3.2645,3552164.2076
688065.SH,2023-03-14,61.87,61.87,60.51,61.19,60.9,0.29,0.4762,8476.68,51711.643,0.3214,0.78,58.7124,3.28,3569079.2752
688065.SH,2023-03-15,61.91,61.91,61.05,61.48,61.19,0.29,0.4739,6275.62,38559.552,0.2379,0.57,58.9906,3.2955,3585994.3429
688065.SH,2023-03-16,61.01,61.55,60.33,60.49,61.48,-0.99,-1.6103,8501.51,51710.068,0.3223,0.98,58.0407,3.2425,3528249.8016
688065.SH,2023-03-17,60.98,61.09,60.02,60.36,60.49,-0.13,-0.2149,10607.58,64124.964,0.4022,1.28,57.916,3.2355,3520667.185
688065.SH,2023-03-20,60.36,61.05,60.0,60.86,60.36,0.5,0.8284,8417.04,50826.592,0.3191,0.98,58.3957,3.2623,3549831.0948
688065.SH,2023-03-21,60.93,62.86,60.93,62.37,60.86,1.51,2.4811,8791.49,54589.672,0.3333,1.04,59.8446,3.3433,3637906.1022
688065.SH,2023-03-22,63.62,64.85,63.4,63.66,62.37,1.29,2.0683,12240.56,78383.717,0.4641,1.44,61.0824,3.4124,3713148.9894
688065.SH,2023-03-23,63.0,64.11,62.84,63.24,63.66,-0.42,-0.6598,11864.04,75096.451,0.4498,1.22,60.6794,3.3899,3688651.3052
