ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
688084.SH,2025-05-13,74.8,80.0,74.23,74.7,74.0,0.7,0.9459,37857.01,292301.955,10.2735,1.43,,3.6257,565173.223
688084.SH,2025-05-14,75.45,76.78,69.68,70.85,74.7,-3.85,-5.1539,36813.65,269800.804,9.9903,1.16,,3.4389,536044.4826
688084.SH,2025-05-15,71.43,71.87,67.23,67.69,70.85,-3.16,-4.4601,17562.72,120478.918,4.7661,0.49,,3.2855,512136.2178
688084.SH,2025-05-16,66.58,69.18,66.58,67.45,67.69,-0.24,-0.3546,13532.75,92237.909,3.6725,0.41,,3.2738,510320.4002
688084.SH,2025-05-19,67.54,68.6,65.68,66.48,67.45,-0.97,-1.4381,17856.55,118709.445,4.8458,0.6,,3.2268,502981.4708
688084.SH,2025-05-20,66.68,68.03,65.62,67.64,66.48,1.16,1.7449,14331.78,96064.695,3.8893,0.58,,3.2831,511757.9224
688084.SH,2025-05-21,67.76,67.76,65.65,66.45,67.64,-1.19,-1.7593,8623.48,57313.759,2.3402,0.43,,3.2253,502754.4936
688084.SH,2025-05-22,66.06,68.5,65.26,66.94,66.45,0.49,0.7374,11234.58,75499.539,3.0488,0.78,,3.2491,506461.7878
688084.SH,2025-05-23,66.97,68.05,65.67,66.31,66.94,-0.63,-0.9411,11415.4,76415.064,3.0979,0.87,,3.2185,501695.2666
688084.SH,2025-05-26,66.01,66.8,64.88,65.3,66.31,-1.01,-1.5231,6370.61,41732.831,1.7288,0.5,,3.1695,494053.701
688084.SH,2025-05-27,64.9,67.88,64.32,67.41,65.3,2.11,3.2312,10956.68,73045.144,2.9734,1.05,,3.2719,510017.7639
688084.SH,2025-05-28,66.81,67.3,65.41,65.85,67.41,-1.56,-2.3142,11766.56,77924.814,3.1932,1.21,,3.1962,498214.9496
688084.SH,2025-05-29,65.51,66.8,65.4,66.2,65.85,0.35,0.5315,9321.33,61553.448,2.5296,0.9,,3.2132,500863.0169
688084.SH,2025-05-30,66.19,67.5,65.01,66.6,66.2,0.4,0.6042,7220.72,47905.053,1.9595,0.72,,3.2326,503889.3796
688084.SH,2025-06-03,67.88,71.08,67.88,68.39,66.6,1.79,2.6877,17014.55,117577.543,4.6173,1.86,,3.3195,517432.3524
688084.SH,2025-06-04,68.49,70.1,67.56,68.9,68.39,0.51,0.7457,9292.29,63964.855,2.5217,0.83,,3.3442,521290.9647
688084.SH,2025-06-05,68.58,70.2,67.01,68.92,68.9,0.02,0.029,7592.41,52210.164,2.0604,0.7,,3.3452,521442.2829
688084.SH,2025-06-06,68.38,70.7,68.38,69.82,68.92,0.9,1.3059,10200.61,71255.624,2.7682,1.01,,3.3889,528251.5988
688084.SH,2025-06-09,69.27,70.89,68.5,69.9,69.82,0.08,0.1146,9260.8,64653.844,2.5132,0.9,,3.3928,528856.8713
688084.SH,2025-06-10,69.9,70.56,67.59,68.41,69.9,-1.49,-2.1316,8644.31,59946.121,2.3459,0.81,,3.3204,517583.6705
688084.SH,2025-06-11,68.64,69.44,67.51,68.3,68.41,-0.11,-0.1608,6070.39,41521.246,1.6474,0.67,,3.3151,516751.4208
688084.SH,2025-06-12,68.3,68.3,65.3,67.67,68.3,-0.63,-0.9224,15942.43,105934.817,4.3264,1.91,,3.2845,511984.8996
688084.SH,2025-06-13,67.63,73.58,66.68,72.8,67.67,5.13,7.5809,36771.2,262133.788,9.9788,3.67,,3.5335,550798.0005
688084.SH,2025-06-16,71.5,71.5,67.8,69.19,72.8,-3.61,-4.9588,25735.47,176828.918,6.984,1.68,,3.3583,523485.0777
