ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2023-01-03,979.9129,960.5094,982.239,956.7036,959.9046,20.0083,2.0844,11260680.0,47137521.002
000688.SH,2023-01-04,972.3783,982.0256,983.8397,966.2852,979.9129,-7.5346,-0.7689,9969593.0,43347499.596
000688.SH,2023-01-05,983.5198,972.606,985.8163,969.318,972.3783,11.1415,1.1458,10431918.0,46691753.363
000688.SH,2023-01-06,991.0952,985.9934,1003.045,984.0247,983.5198,7.5754,0.7702,11444622.0,51540933.418
000688.SH,2023-01-09,988.6687,994.7397,1000.0673,986.165,991.0952,-2.4265,-0.2448,10381752.0,47866647.75
000688.SH,2023-01-10,990.3153,989.8491,998.1597,985.2184,988.6687,1.6466,0.1665,9545891.0,43450196.099
000688.SH,2023-01-11,973.9615,990.1451,993.4742,973.5585,990.3153,-16.3538,-1.6514,9935611.0,45956907.726
000688.SH,2023-01-12,974.1936,978.3612,979.3554,971.4967,973.9615,0.2321,0.0238,9156746.0,40898126.107
000688.SH,2023-01-13,974.3118,976.5797,977.0551,967.1122,974.1936,0.1182,0.0121,9132180.0,41421090.096
000688.SH,2023-01-16,992.6127,972.7034,1000.2674,971.9038,974.3118,18.3009,1.8783,13295506.0,60220009.142
000688.SH,2023-01-17,1003.6765,994.6421,1006.5856,993.4538,992.6127,11.0638,1.1146,10530097.0,49292823.529
000688.SH,2023-01-18,1006.7455,1006.688,1009.8746,1001.7536,1003.6765,3.069,0.3058,9384388.0,40107877.79
000688.SH,2023-01-19,1023.6512,1004.7854,1023.707,1004.0824,1006.7455,16.9057,1.6792,10429025.0,47849458.727
000688.SH,2023-01-20,1029.135,1025.0044,1034.5853,1024.1561,1023.6512,5.4838,0.5357,9878585.0,45914395.843
000688.SH,2023-01-30,1031.6097,1046.437,1051.6741,1031.3578,1029.135,2.4747,0.2405,14771562.0,65873911.371
000688.SH,2023-01-31,1014.3578,1027.8189,1029.6248,1014.1267,1031.6097,-17.2519,-1.6723,11950707.0,54352162.179
000688.SH,2023-02-01,1026.3979,1016.3108,1026.8686,1010.4001,1014.3578,12.0401,1.187,13265177.0,59104192.243
000688.SH,2023-02-02,1031.6796,1030.3347,1041.2432,1028.3707,1026.3979,5.2817,0.5146,15089642.0,67219065.122
