ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20240510,3154.5472,3158.5891,3163.1441,3137.1517,3154.3201,0.2271,0.0072,384287495.0,406707822.8
000001.SH,20240513,3148.0207,3139.4753,3157.3656,3126.1697,3154.5472,-6.5265,-0.2069,397030565.0,425963088.2
000001.SH,20240514,3145.7743,3148.8488,3155.8071,3137.6091,3148.0207,-2.2464,-0.0714,343526194.0,370069674.9
000001.SH,20240515,3119.9021,3141.2518,3142.9725,3117.9287,3145.7743,-25.8722,-0.8224,321027962.0,333005622.2
000001.SH,20240516,3122.401,3127.1841,3137.8779,3116.1627,3119.9021,2.4989,0.0801,367417361.0,377502921.5
000001.SH,20240517,3154.0263,3121.7126,3154.0263,3116.7842,3122.401,31.6253,1.0129,383915244.0,389572549.3
000001.SH,20240520,3171.1451,3156.1482,3174.2658,3155.9903,3154.0263,17.1188,0.5428,426867280.0,448816915.0
000001.SH,20240521,3157.9657,3164.6826,3165.2237,3148.342,3171.1451,-13.1794,-0.4156,335783572.0,346584200.8
000001.SH,20240522,3158.5399,3157.1889,3166.9191,3152.457,3157.9657,0.5742,0.0182,354098082.0,364137830.7
000001.SH,20240523,3116.387,3149.8752,3150.6282,3110.2773,3158.5399,-42.1529,-1.3346,353943727.0,356689462.9
000001.SH,20240524,3088.8705,3110.7533,3130.4245,3087.7941,3116.387,-27.5165,-0.883,306532279.0,322748606.4
000001.SH,20240527,3124.0427,3094.14,3125.5064,3091.9893,3088.8705,35.1722,1.1387,319396765.0,345383767.8
000001.SH,20240528,3109.5721,3122.3877,3130.3103,3106.3645,3124.0427,-14.4706,-0.4632,310066974.0,320985406.5
000001.SH,20240529,3111.0176,3108.0267,3128.1365,3100.9797,3109.5721,1.4455,0.0465,289970346.0,297512177.3
000001.SH,20240530,3091.6778,3103.7078,3121.218,3085.3841,3111.0176,-19.3398,-0.6217,302380762.0,318475183.0
000001.SH,20240531,3086.8134,3094.7587,3107.6035,3086.8134,3091.6778,-4.8644,-0.1573,276072816.0,301121881.3
