ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399006.SZ,20240510,1878.1652,1899.0514,1900.1003,1872.0711,1900.0092,-21.844,-1.1497,163497204.0,225068982.9
399006.SZ,20240513,1860.3664,1859.3437,1876.1722,1851.2545,1878.1652,-17.7988,-0.9477,148801973.0,206351333.6
399006.SZ,20240514,1855.5976,1864.3854,1873.1381,1851.3865,1860.3664,-4.7688,-0.2563,147873924.0,192341185.3
399006.SZ,20240515,1838.8872,1857.5763,1866.4127,1837.5414,1855.5976,-16.7104,-0.9005,140058749.0,179896392.0
399006.SZ,20240516,1844.2111,1846.9782,1861.3779,1837.0157,1838.8872,5.3239,0.2895,147068864.0,190380835.6
399006.SZ,20240517,1864.9391,1838.985,1865.8982,1833.4336,1844.2111,20.728,1.1239,149789562.0,208187423.5
399006.SZ,20240520,1875.9276,1869.5451,1887.0544,1865.8811,1864.9391,10.9885,0.5892,156277546.0,217240081.8
399006.SZ,20240521,1861.4815,1871.7788,1873.0869,1855.4365,1875.9276,-14.4461,-0.7701,139081434.0,186846175.9
399006.SZ,20240522,1877.9267,1863.1413,1883.174,1855.254,1861.4815,16.4452,0.8834,138468862.0,204131635.4
399006.SZ,20240523,1852.067,1876.5613,1879.6212,1847.6946,1877.9267,-25.8597,-1.377,152265214.0,218396407.0
399006.SZ,20240524,1818.5616,1845.0129,1861.9299,1818.1375,1852.067,-33.5054,-1.8091,139625333.0,203692809.1
399006.SZ,20240527,1830.9578,1824.1652,1832.8193,1802.7655,1818.5616,12.3962,0.6816,136433218.0,190361238.8
399006.SZ,20240528,1806.2546,1824.0874,1827.7442,1805.6485,1830.9578,-24.7032,-1.3492,134487619.0,190307684.1
399006.SZ,20240529,1811.0683,1808.4851,1832.7146,1804.1108,1806.2546,4.8137,0.2665,131865613.0,185223719.9
399006.SZ,20240530,1813.1545,1810.6572,1820.2943,1805.3488,1811.0683,2.0862,0.1152,129004865.0,179770180.7
