ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
300748.SZ,20260709,55.7171,53.2819,3931434.2194,3229630.5986
300748.SZ,20260708,57.9006,55.37,4085500.221,3356194.149
300748.SZ,20260707,61.7801,59.0799,4359242.4917,3581070.4573
300748.SZ,20260706,63.4957,60.7205,4480294.3501,3680513.2469
300748.SZ,20260703,66.7708,63.8526,4711393.3525,3870358.5725
300748.SZ,20260702,64.3339,61.5222,4539444.69,3729104.61
300748.SZ,20260701,60.3374,57.7003,4257448.8835,3497448.1115
300748.SZ,20260630,60.1425,57.5139,4243692.9905,3486147.7945
300748.SZ,20260629,57.3742,54.8666,4048359.3099,3325683.2931
300748.SZ,20260626,58.6219,56.0597,4136397.0251,3398005.3219
300748.SZ,20260625,63.1252,60.3663,4454158.1534,3659042.6446
300748.SZ,20260624,62.209,59.4901,4389505.4563,3605931.1547
300748.SZ,20260623,63.7491,60.9629,4498177.011,3695203.659
300748.SZ,20260622,67.0438,64.1136,4730651.6027,3886179.0163
300748.SZ,20260618,65.1722,62.3238,4598595.0299,3777695.9731
300748.SZ,20260617,62.9498,60.1985,4441777.8497,3648872.3593
300748.SZ,20260616,64.5874,61.7645,4557327.3509,3743795.0221
300748.SZ,20260615,61.2342,58.5579,4320725.9913,3549429.5697
300748.SZ,20260612,58.8558,56.2835,4152904.0967,3411565.7023
300748.SZ,20260611,57.0038,54.5124,4022223.1044,3304212.6703
300748.SZ,20260610,57.3352,54.8293,4045608.1225,3323423.2091
300748.SZ,20260609,58.6609,56.097,4139148.1947,3400265.3642
300748.SZ,20260608,56.9063,54.4192,4015345.1579,3298562.5119
300748.SZ,20260605,60.6689,58.0173,4280833.8923,3516658.6286
300748.SZ,20260604,60.0645,57.4393,4238190.6241,3481627.6461
300748.SZ,20260603,60.8053,58.1478,4290463.0173,3524568.8505
300748.SZ,20260602,61.0588,58.3901,4308345.6782,3539259.2625
300748.SZ,20260601,59.9865,57.3648,4232688.2669,3477107.5194
300748.SZ,20260529,62.9108,60.1612,4439026.6614,3646612.2733
300748.SZ,20260528,66.2835,63.3865,4677003.6098,3842107.7562
300748.SZ,20260527,64.5289,61.7086,4553200.5731,3740404.9038
300748.SZ,20260526,67.5117,64.561,4763665.7355,3913299.7529
300748.SZ,20260525,68.1355,65.1576,4807684.593,3949460.767
300748.SZ,20260522,66.9463,64.0203,4723773.6459,3880528.8338
300748.SZ,20260521,64.4509,61.634,4547698.2159,3735884.7771
300748.SZ,20260520,65.6986,62.8272,4635735.9309,3808206.8054
300748.SZ,20260519,65.1917,62.3425,4599970.6092,3778825.9814
300748.SZ,20260518,67.0438,64.1136,4730651.5924,3886178.9922
300748.SZ,20260515,69.0713,66.0524,4873712.8793,4003702.2883
300748.SZ,20260514,67.4922,64.5423,4762290.1462,3912169.7212
300748.SZ,20260513,70.046,66.9846,4942492.3441,4060203.8729
300748.SZ,20260512,69.6561,66.6117,4914980.5582,4037603.2391
300748.SZ,20260511,72.5414,69.3709,5118567.7741,4204847.9297
300748.SZ,20260508,67.5701,64.6169,4767792.5034,3916689.8479
300748.SZ,20260507,67.7261,64.7661,4778797.2178,3925730.1015
300748.SZ,20260506,67.8431,64.8779,4787050.7536,3932510.2916
300748.SZ,20260430,64.256,61.4476,4533942.3229,3724584.4601
300748.SZ,20260429,65.2892,62.4357,4606848.5557,3784476.1399
300748.SZ,20260428,60.3959,57.7563,4261575.6421,3500838.1849
300748.SZ,20260427,62.3649,59.6392,4400510.1611,3614971.3859
300748.SZ,20260424,62.2285,59.5087,4390881.036,3607061.1641
300748.SZ,20260423,62.8718,60.1239,4436275.4828,3644352.2099
300748.SZ,20260422,65.4842,65.4842,4620604.4486,3795776.4568
300748.SZ,20260421,66.0495,66.0495,4660496.5382,3828547.3759
300748.SZ,20260420,65.6986,65.6986,4635735.9309,3808206.8054
300748.SZ,20260417,64.3339,64.3339,4539444.6801,3729104.5869
300748.SZ,20260416,63.6906,63.6906,4494050.2333,3691813.541
300748.SZ,20260415,62.6184,62.6184,4418392.822,3629661.7979
300748.SZ,20260414,63.8076,63.8076,4502303.7691,3698593.7312
300748.SZ,20260413,64.022,64.022,4517435.2513,3711024.0798
300748.SZ,20260410,63.7101,63.7101,4495425.8226,3692943.5727
300748.SZ,20260409,63.7491,63.7491,4498177.0012,3695203.6361
300748.SZ,20260408,63.3007,63.3007,4466538.4474,3669212.9072
300748.SZ,20260407,60.5909,60.5909,4275331.5351,3512138.5018
300748.SZ,20260403,59.3237,59.3237,4185918.2308,3438686.4418
300748.SZ,20260402,59.7136,59.7136,4213430.0167,3461287.0757
300748.SZ,20260401,61.6046,61.6046,4346862.1785,3570900.1499
300748.SZ,20260331,59.8306,59.8306,4221683.5525,3468067.2658
300748.SZ,20260330,60.5324,60.5324,4271204.7672,3508748.4068
