ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
688082.SH,20260709,149.5572,166.4997,20877133.242,20652886.38
688082.SH,20260708,143.4726,159.7258,20027763.05,19812639.5
688082.SH,20260707,137.0768,152.6055,19134959.155,18929425.45
688082.SH,20260706,128.9525,143.5607,18000856.91,17807504.9
688082.SH,20260703,125.644,139.8774,17539011.8681,17350620.659
688082.SH,20260702,127.9153,142.4061,17856077.9,17664281.0
688082.SH,20260701,140.0154,155.877,19545166.35,19335226.5
688082.SH,20260630,149.3498,166.2687,20848177.44,20624241.6
688082.SH,20260629,154.864,172.4076,21617919.1765,21385715.335
688082.SH,20260626,143.1269,159.3409,19979503.38,19764898.2
688082.SH,20260625,142.7708,158.9445,19929795.9199,19715724.661
688082.SH,20260624,139.0405,154.7916,19409074.0806,19200596.034
688082.SH,20260623,138.2212,153.8794,19294698.6627,19087449.153
688082.SH,20260622,130.038,144.7693,18152392.2738,17957412.582
688082.SH,20260618,130.9404,145.7738,18278350.0125,18082017.375
688082.SH,20260617,124.873,139.0191,17431392.804,17244157.56
688082.SH,20260616,104.0608,115.8493,14526160.67,14370131.3
688082.SH,20260615,108.9009,121.2376,15201796.05,15038509.5
688082.SH,20260612,105.3262,117.258,14702791.0622,14544864.458
688082.SH,20260611,98.1837,109.3063,13705745.9676,13558530.2224
688082.SH,20260610,91.6116,101.9897,12788329.6618,12650968.041
688082.SH,20260609,91.2209,101.5548,12733796.236,12597020.3679
688082.SH,20260608,84.9081,94.5269,11852574.6818,11725264.1642
688082.SH,20260605,86.775,96.6052,12113176.8939,11983067.2036
688082.SH,20260604,93.5165,104.1104,13054240.4375,12914022.6238
688082.SH,20260603,87.4457,97.3519,12206800.6516,12075685.3326
688082.SH,20260602,77.8036,86.6175,10860838.4859,10744180.3752
688082.SH,20260601,74.381,82.8072,10383067.7638,10271541.4695
688082.SH,20260529,79.183,88.1532,11053394.5649,10934668.1765
688082.SH,20260528,84.3135,93.8649,11769568.0513,11643149.122
688082.SH,20260527,83.3178,92.7564,11630580.2049,11505654.1676
688082.SH,20260526,88.8424,98.9068,12401769.7139,12268560.1991
688082.SH,20260525,86.775,96.6052,12113176.8939,11983067.2036
688082.SH,20260522,73.6965,82.0452,10287513.6194,10177013.6884
688082.SH,20260521,73.5409,81.872,10265796.7684,10155530.1018
688082.SH,20260520,72.8357,81.0868,10167347.0439,10058137.8424
688082.SH,20260519,68.0371,75.7446,9497502.8395,9395488.5485
688082.SH,20260518,64.0199,71.2723,8936725.4869,8840734.6006
688082.SH,20260515,60.5696,67.4312,8455093.9913,8364276.3907
688082.SH,20260514,60.5351,67.3927,8450268.0244,8359502.2604
688082.SH,20260513,62.5333,69.6173,8729208.9106,8635446.9952
688082.SH,20260512,60.3,67.131,8417451.4495,8327038.1739
688082.SH,20260511,57.4686,63.9788,8022204.7612,7895611.4237
688082.SH,20260508,55.3873,61.6618,7731681.5545,7609672.7799
688082.SH,20260507,55.4357,61.7157,7738437.9081,7616322.5158
688082.SH,20260506,54.0729,60.1985,7548190.4831,7466703.4579
688082.SH,20260430,53.01,59.0152,7399819.5633,7319934.2869
688082.SH,20260429,51.2557,57.0622,7154935.5209,7077693.9075
688082.SH,20260428,50.4267,56.1393,7039215.8067,6963223.4538
688082.SH,20260427,57.1342,57.1342,7975537.1453,7889436.669
688082.SH,20260424,54.3412,54.3412,7585643.3366,7503751.9865
688082.SH,20260423,53.8114,53.8114,7511697.9591,7430604.8916
688082.SH,20260422,55.38,55.38,7730653.1029,7647196.2896
688082.SH,20260421,53.5913,53.5913,7480967.4126,7400206.0989
688082.SH,20260420,53.9215,53.9215,7527063.2324,7445804.2879
688082.SH,20260417,54.1417,54.1417,7557793.7789,7476203.0806
688082.SH,20260416,53.6119,53.6119,7483848.4014,7403055.9857
688082.SH,20260415,53.6601,53.6601,7490570.7084,7409705.7216
688082.SH,20260414,54.7643,54.7643,7644703.6057,7562174.6663
688082.SH,20260413,52.6798,52.6798,7353723.7435,7274336.0978
688082.SH,20260410,52.9377,52.9377,7389736.1027,7309959.683
688082.SH,20260409,52.0537,52.0537,7266333.7519,7187889.5311
688082.SH,20260408,51.9368,51.9368,7250008.1491,7171740.1725
688082.SH,20260407,48.442,48.442,6762160.7235,6689159.3383
688082.SH,20260403,48.0671,48.0671,6709822.7615,6637386.3945
688082.SH,20260402,48.1909,48.1909,6727108.6939,6654485.7154
688082.SH,20260401,49.9417,49.9417,6971512.5715,6896251.1136
688082.SH,20260331,48.7103,48.7103,6799613.577,6726207.8669
688082.SH,20260330,49.7044,49.7044,6938381.2011,6863477.4152
688082.SH,20260327,49.185,49.185,6865876.3179,6791755.2637
688082.SH,20260326,48.8548,48.8548,6819780.4982,6746157.0746
688082.SH,20260325,51.5412,51.5412,7194789.1984,6538715.073
688082.SH,20260324,51.0803,51.0803,7130447.1167,6480240.1785
688082.SH,20260323,49.7938,49.7938,6950865.4856,6317034.1296
688082.SH,20260320,51.5997,51.5997,7202951.9998,6546133.5298
688082.SH,20260319,51.7579,51.7579,7225039.5801,6566207.0011
688082.SH,20260318,53.6119,53.6119,7483848.4014,6801415.7187
688082.SH,20260317,52.7761,52.7761,7367168.3576,6695375.4248
688082.SH,20260316,53.9594,53.9594,7532345.045,6845490.0795
688082.SH,20260313,52.7933,52.7933,7369569.1816,6697557.3239
688082.SH,20260312,53.4193,53.4193,7456959.1732,6776978.4493
688082.SH,20260311,54.6267,54.6267,7625497.0141,6930147.7626
688082.SH,20260310,54.809,54.809,7650945.7479,6953275.8925
688082.SH,20260309,53.4296,53.4296,7458399.6675,6778287.5887
688082.SH,20260306,55.3112,55.3112,7721049.8071,7016987.3448
688082.SH,20260305,55.4866,55.4866,7745538.2114,7039242.7151
688082.SH,20260304,54.4444,54.4444,7600048.2803,6907019.6327
688082.SH,20260303,55.4591,55.4591,7741696.893,7035751.6766
688082.SH,20260302,57.7121,57.7121,8056204.8298,7321580.4522
688082.SH,20260227,59.2462,59.2462,8270358.3257,7516205.8474
688082.SH,20260226,78.0505,54.1861,9000688.9698,8179939.5385
688082.SH,20260225,76.4058,53.0443,8811023.8782,8007569.5135
688082.SH,20260224,74.2323,51.5353,8560377.8583,7779779.2527
688082.SH,20260213,74.7028,51.862,8614636.4794,7829090.1712
688082.SH,20260212,75.8687,52.6714,8749082.6204,7951276.518
688082.SH,20260211,74.6945,51.8562,8613676.1499,7828217.4116
688082.SH,20260210,75.5897,52.4777,8716911.5795,7922039.0707
688082.SH,20260209,75.6438,52.5153,8723153.7218,7927712.0083
688082.SH,20260206,73.7035,51.1682,8499396.9301,7724359.0168
688082.SH,20260205,74.2656,51.5584,8564219.1766,7783270.2912
688082.SH,20260204,75.7687,52.602,8737558.6654,7940803.4026
688082.SH,20260203,75.7729,52.6049,8738038.8302,7941239.7824
688082.SH,20260202,73.233,50.8415,8445138.3089,7675048.0983
688082.SH,20260130,78.6126,54.5763,9065511.2163,8238850.8128
688082.SH,20260129,79.1081,54.9203,9122650.8262,8290780.0102
688082.SH,20260128,83.2303,57.7821,9598013.9673,8722796.0221
688082.SH,20260127,80.3614,55.7904,9267180.4277,8422130.333
688082.SH,20260126,79.945,55.5013,9219163.9488,8378492.352
688082.SH,20260123,81.9311,56.8802,9448202.5532,8586645.5214
688082.SH,20260122,85.612,59.4356,9872668.2266,8972405.2734
688082.SH,20260121,88.3642,61.3463,10190057.1522,9260852.3278
688082.SH,20260120,86.682,60.1785,9996070.5774,9084554.8846
688082.SH,20260119,88.46,61.4128,10201100.9423,9270889.0635
688082.SH,20260116,87.9895,61.0862,10146842.3211,9221578.1449
688082.SH,20260115,85.2622,59.1928,9832334.3844,8935749.3694
688082.SH,20260114,81.0276,56.2529,9344006.7939,8491951.1026
688082.SH,20260113,78.8208,54.7209,9089519.4558,8260669.8033
688082.SH,20260112,82.3184,57.149,9492857.8785,8627228.8437
688082.SH,20260109,81.215,56.383,9365614.2094,8511588.1941
688082.SH,20260108,80.9818,56.2211,9338724.9813,8487150.9247
688082.SH,20260107,82.4433,57.2358,9507262.8222,8640320.238
688082.SH,20260106,77.0304,53.4779,8883048.5965,8073026.485
688082.SH,20260105,76.5099,53.1165,8823027.9979,8018479.0088
688082.SH,20251231,73.3037,50.8907,8453301.1103,7682466.5551
688082.SH,20251230,73.6827,51.1537,8496996.1061,7722177.1178
688082.SH,20251229,73.5328,51.0497,8479710.1737,7706467.4446
688082.SH,20251226,74.353,51.6191,8574302.6372,7792434.2672
688082.SH,20251225,76.6556,53.2177,8839833.7655,8033752.3021
688082.SH,20251224,75.3648,52.3216,8690982.6809,7898474.561
688082.SH,20251223,74.2698,51.5613,8564699.3414,7783706.671
688082.SH,20251222,73.8201,51.2491,8512841.5442,7736577.6515
688082.SH,20251219,69.5355,48.2746,8018751.9763,7287542.827
688082.SH,20251218,69.9061,48.5319,8061486.6425,7326380.6301
688082.SH,20251217,72.242,50.1536,8330859.0892,7571189.7035
688082.SH,20251216,70.5765,48.9973,8138793.1736,7396637.7795
688082.SH,20251215,70.8221,49.1678,8167122.8961,7422384.1883
688082.SH,20251212,73.9491,51.3387,8527726.6526,7750105.4256
688082.SH,20251211,68.4821,47.5433,7897270.2847,7177138.7351
688082.SH,20251210,68.7152,47.7051,7924159.5129,7201576.0044
688082.SH,20251209,68.2864,47.4074,7874702.5396,7156628.884
688082.SH,20251208,68.0157,47.2195,7843491.8283,7128264.1964
688082.SH,20251205,66.6167,46.2482,7682156.4592,6981640.5802
688082.SH,20251204,67.0789,46.5691,7735454.7508,7030078.7391
688082.SH,20251203,65.355,45.3724,7536666.5281,6849417.4978
688082.SH,20251202,65.6632,45.5863,7572198.7225,6881709.6037
688082.SH,20251201,66.8582,46.4159,7710006.017,7006950.6092
688082.SH,20251128,65.7381,45.6383,7580841.6887,6889564.4403
688082.SH,20251127,64.6555,44.8867,7455998.8436,6776105.6897
688082.SH,20251126,65.3675,45.381,7538107.0225,6850726.6372
688082.SH,20251125,64.6597,44.8896,7456479.0084,6776542.0695
688082.SH,20251124,65.0178,45.1382,7497773.1802,6814070.7332
688082.SH,20251121,64.7471,44.9503,7466562.469,6785706.0455
688082.SH,20251120,66.9956,46.5113,7725851.455,7021351.1429
688082.SH,20251119,67.3079,46.7281,7761863.8142,7054079.6287
688082.SH,20251118,68.1281,47.2976,7856456.2776,7140046.4512
688082.SH,20251117,67.312,46.731,7762343.979,7054516.0085
688082.SH,20251114,69.1441,48.0029,7973616.4861,7246523.1249
688082.SH,20251113,70.8679,49.1996,8172404.7088,7422550.2457
688082.SH,20251112,70.5973,49.0117,8141193.9975,7394203.2559
688082.SH,20251111,70.5057,48.9481,8130630.3721,7384608.8902
