ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
920394.BJ,20260709,60.9383,60.9243,776148.75,770432.1133
920394.BJ,20260708,59.5834,59.5697,758891.25,753301.7215
920394.BJ,20260707,63.9353,63.9206,814320.0,808322.2172
920394.BJ,20260706,66.1055,66.0903,841961.25,835759.8787
920394.BJ,20260703,70.4,70.3838,896658.75,890054.5104
920394.BJ,20260702,73.351,73.3342,934245.0,927363.9231
920394.BJ,20260701,76.7958,76.7782,978120.0,970915.7667
920394.BJ,20260630,79.1727,79.1545,1008393.75,1000966.5387
920394.BJ,20260629,74.1089,74.0919,943897.5,936945.3286
920394.BJ,20260626,80.1487,80.1303,1020825.0,1013306.2278
920394.BJ,20260625,84.1791,84.1598,1072158.75,1064261.8848
920394.BJ,20260624,71.5712,71.5548,911576.25,904862.1372
920394.BJ,20260623,70.0785,70.0624,892563.75,885989.6716
920394.BJ,20260622,72.3291,72.3125,921228.75,914443.5428
920394.BJ,20260618,76.5547,76.5371,975048.75,967867.1376
920394.BJ,20260617,79.3909,79.3727,1011172.5,1003724.8222
920394.BJ,20260616,72.731,72.7143,926347.5,919524.5912
920394.BJ,20260615,75.4409,75.4236,960862.5,953785.3748
920394.BJ,20260612,73.4773,73.4605,935853.75,928960.824
920394.BJ,20260611,79.5631,79.5449,1013366.25,1005902.4143
920394.BJ,20260610,70.2392,70.2231,894611.25,888022.091
920394.BJ,20260609,88.0832,88.063,1121883.75,1113620.6409
920394.BJ,20260608,67.759,67.7434,863021.25,856664.7636
920394.BJ,20260605,57.3672,57.354,730665.0,725283.3688
920394.BJ,20260604,52.0163,52.0044,662512.5,657632.8384
920394.BJ,20260603,51.9704,51.9584,661927.5,657052.1471
920394.BJ,20260602,52.8086,52.7965,672603.75,667649.7624
920394.BJ,20260601,51.2125,51.2008,652275.0,647470.7415
920394.BJ,20260529,52.2804,52.2684,665876.25,660971.813
920394.BJ,20260528,51.9015,51.8896,661050.0,656181.1102
920394.BJ,20260527,50.9829,50.9712,649350.0,644567.2853
920394.BJ,20260526,54.887,54.8744,699075.0,693926.0414
920394.BJ,20260525,57.3787,57.3655,730811.25,725428.5416
920394.BJ,20260522,56.5405,56.5275,720135.0,714830.9263
920394.BJ,20260521,54.9559,54.9432,699952.5,694797.0782
920394.BJ,20260520,54.6114,54.5988,695565.0,690441.8939
920394.BJ,20260519,54.6114,54.5988,695565.0,690441.8939
920394.BJ,20260518,54.9903,54.9777,700391.25,695232.5967
920394.BJ,20260515,56.4945,56.4816,719550.0,714250.235
920394.BJ,20260514,59.503,59.4893,757867.5,752285.5118
920394.BJ,20260513,61.9717,61.9575,789311.25,783497.6664
920394.BJ,20260512,60.169,60.1552,766350.0,760705.5349
920394.BJ,20260511,58.1251,58.1117,740317.5,734864.7743
920394.BJ,20260508,59.1355,59.122,753187.5,747639.9818
920394.BJ,20260507,58.4466,58.4332,744412.5,738929.6131
920394.BJ,20260506,56.3797,56.3668,718087.5,712798.5069
920394.BJ,20260430,55.8056,55.7928,710775.0,705539.8663
920394.BJ,20260429,56.4716,56.4586,719257.5,713959.8894
920394.BJ,20260428,56.6553,56.6423,721597.5,716282.6544
920394.BJ,20260427,58.481,58.4676,744851.25,739365.1315
920394.BJ,20260424,54.0717,54.0593,688691.25,683618.7717
920394.BJ,20260423,55.3348,55.3221,704778.75,699587.781
920394.BJ,20260422,57.0801,57.067,727008.75,721654.0485
920394.BJ,20260421,56.3567,56.3438,717795.0,712508.1613
920394.BJ,20260420,56.1845,56.1716,715601.25,710330.5691
920394.BJ,20260417,57.1031,57.09,727301.25,721944.3941
920394.BJ,20260416,53.2449,53.2327,678161.25,673166.3292
920394.BJ,20260415,53.842,53.8297,685766.25,680715.3155
920394.BJ,20260414,54.7606,54.7481,697466.25,692329.1404
920394.BJ,20260413,55.0018,55.0018,700537.5,695377.7695
920394.BJ,20260410,52.889,52.889,673627.5,668665.9721
920394.BJ,20260409,51.9015,51.9015,661050.0,656181.1102
920394.BJ,20260408,52.7053,52.7053,671287.5,666343.2071
920394.BJ,20260407,49.6279,49.6279,632092.5,627436.8935
