ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
300408.SZ,20260709,97.9407,89.1482,25644650.3713,25019845.9859
300408.SZ,20260708,95.4668,86.8963,24996874.2839,24387852.2677
300408.SZ,20260707,102.4714,93.2721,26830962.2,26177254.6
300408.SZ,20260706,103.7377,94.4247,27162516.2329,26500730.6747
300408.SZ,20260703,106.0506,96.53,27768129.3797,27091588.7071
300408.SZ,20260702,108.4733,98.7352,28402489.986,27710493.798
300408.SZ,20260701,124.7663,113.5655,32668612.9758,31872677.2794
300408.SZ,20260630,122.1606,111.1937,31986339.937,31207027.091
300408.SZ,20260629,122.0069,111.0538,31946093.4937,31167761.2091
300408.SZ,20260626,117.1468,106.63,30673539.2865,29926211.4195
300408.SZ,20260625,119.7598,109.0085,31357728.8226,30593731.4118
300408.SZ,20260624,106.3214,96.7765,27839039.7798,27160771.4514
300408.SZ,20260623,106.4971,96.9364,27885035.715,27205646.745
300408.SZ,20260622,114.263,104.0051,29918439.3503,29189508.6829
300408.SZ,20260618,115.5658,105.191,30259575.8697,29522333.7771
300408.SZ,20260617,113.7872,103.572,29793867.0258,29067971.4294
300408.SZ,20260616,109.9519,100.081,28789622.4406,28088194.1858
300408.SZ,20260615,109.9738,100.101,28795371.9325,28093803.5975
300408.SZ,20260612,92.5903,84.278,24243690.845,23653019.335
300408.SZ,20260611,96.3451,87.6958,25226854.8945,24612229.2885
300408.SZ,20260610,96.6159,87.9423,25297765.2972,24681412.0344
300408.SZ,20260609,103.218,93.9517,27026445.9258,26367975.1901
300408.SZ,20260608,89.9699,81.8929,23557585.6843,22983630.0551
300408.SZ,20260605,98.6873,89.8277,25840134.0532,25210566.55
300408.SZ,20260604,101.7615,92.6259,26645062.949,25995884.2056
300408.SZ,20260603,98.7312,89.8677,25851633.0374,25221785.3736
300408.SZ,20260602,98.4165,89.5812,25769223.6505,25141383.8041
300408.SZ,20260601,91.9535,83.6984,24076956.4719,23490346.9233
300408.SZ,20260529,94.2591,85.797,24680653.1437,24079335.1651
300408.SZ,20260528,96.6965,88.0156,25318846.7683,24701979.8778
300408.SZ,20260527,90.0212,81.9396,23571001.1659,22996718.6827
300408.SZ,20260526,85.5856,77.9022,22409603.7591,21863617.4938
300408.SZ,20260525,84.4292,76.8496,22106797.1745,21568188.471
300408.SZ,20260522,84.173,76.6164,22039719.7665,21502745.333
300408.SZ,20260521,72.074,65.6036,18871749.6122,18411959.4169
300408.SZ,20260520,70.2369,63.9314,18390708.7721,17942638.6274
300408.SZ,20260519,70.6614,64.3178,18501865.6196,18051087.2561
300408.SZ,20260518,64.3374,58.5616,16846011.8911,16435576.6502
300408.SZ,20260515,62.7272,57.0959,16424382.4695,16024219.7829
300408.SZ,20260514,64.6961,58.888,16939920.2623,16527197.0433
300408.SZ,20260513,66.3795,60.4204,17380714.6576,16957251.95
300408.SZ,20260512,64.5643,58.7681,16905423.3096,16493540.5724
300408.SZ,20260511,64.5717,58.7748,16907339.807,16495410.3763
300408.SZ,20260508,63.1663,57.4956,16539372.3117,16136408.0195
300408.SZ,20260507,63.664,57.9486,16669694.133,16263554.6875
300408.SZ,20260506,62.2148,56.6295,16290227.6535,15893333.507
300408.SZ,20260430,62.7272,57.0959,16424382.4695,16024219.7829
300408.SZ,20260429,60.0263,54.6375,15717194.9396,15334262.1283
300408.SZ,20260428,59.7848,54.4176,15653950.5263,15272558.5983
300408.SZ,20260427,55.4151,50.4402,14509801.5958,14156285.6449
300408.SZ,20260424,54.8881,49.9605,14371813.7851,14021659.7611
300408.SZ,20260423,51.3089,51.3089,13434646.5707,13107325.6334
300408.SZ,20260422,49.0399,49.0399,12840532.3857,12527686.4114
300408.SZ,20260421,48.3738,48.3738,12666131.1249,12357534.2527
300408.SZ,20260420,46.4708,46.4708,12167841.8085,11871385.2278
300408.SZ,20260417,47.7005,47.7005,12489813.3668,12185512.29
300408.SZ,20260416,47.6273,47.6273,12470648.3931,12166814.2506
300408.SZ,20260415,47.8103,47.8103,12518560.8274,12213559.3491
300408.SZ,20260414,47.2906,47.2906,12382489.514,12080803.2693
300408.SZ,20260413,45.0142,45.0142,11786458.8317,11499294.2433
300408.SZ,20260410,43.6382,43.6382,11426157.3259,11147771.1022
300408.SZ,20260409,42.877,42.877,11226841.5993,10953311.4922
300408.SZ,20260408,42.7379,42.7379,11190428.1493,10917785.2173
