ts_code,trade_date,pe,pe_ttm,total_mv,circ_mv
688122.SH,20260709,42.0868,49.5325,3532225.8865,3532225.8865
688122.SH,20260708,41.2431,48.5395,3461412.456,3461412.456
688122.SH,20260707,42.1797,49.6418,3540021.8605,3540021.8605
688122.SH,20260706,43.5808,51.2908,3657611.135,3657611.135
688122.SH,20260703,44.8967,52.8395,3768054.1,3768054.1
688122.SH,20260702,44.3549,52.2018,3722577.585,3722577.585
688122.SH,20260701,46.6926,54.9531,3918776.264,3918776.264
688122.SH,20260630,48.6201,57.2216,4080542.7245,4080542.7245
688122.SH,20260629,46.4449,54.6616,3897987.0,3897987.0
688122.SH,20260626,41.1037,48.3755,3449718.495,3449718.495
688122.SH,20260625,42.9925,50.5984,3608236.633,3608236.633
688122.SH,20260624,43.5653,51.2726,3656311.806,3656311.806
688122.SH,20260623,43.8672,51.6279,3681648.7215,3681648.7215
688122.SH,20260622,46.0966,54.2516,3868752.0975,3868752.0975
688122.SH,20260618,46.6771,54.9349,3917476.935,3917476.935
688122.SH,20260617,45.3612,53.3862,3807033.97,3807033.97
688122.SH,20260616,45.4696,53.5137,3816129.273,3816129.273
688122.SH,20260615,44.4168,52.2747,3727774.901,3727774.901
688122.SH,20260612,42.1178,49.569,3534824.5445,3534824.5445
688122.SH,20260611,41.5682,48.9221,3488698.3489,3488698.3489
688122.SH,20260610,41.723,49.1043,3501691.6388,3501691.6388
688122.SH,20260609,43.6892,51.4183,3666706.4211,3666706.4211
688122.SH,20260608,43.0467,50.6622,3612784.2678,3612784.2678
688122.SH,20260605,46.979,55.2902,3942813.8323,3942813.8323
688122.SH,20260604,48.7749,57.4038,4093535.9956,4093535.9956
688122.SH,20260603,49.4638,58.2146,4151356.1358,4151356.1358
688122.SH,20260602,49.7038,58.497,4171495.7352,4171495.7352
688122.SH,20260601,52.1112,61.3303,4373541.3938,4373541.3938
688122.SH,20260529,52.297,61.549,4389133.3417,4389133.3417
688122.SH,20260528,56.4073,66.3865,4734105.1896,4734105.1896
688122.SH,20260527,54.3483,63.9632,4561294.4334,4561294.4334
688122.SH,20260526,53.9845,63.535,4530760.2021,4530760.2021
688122.SH,20260525,56.7324,66.7691,4761391.0985,4761391.0985
688122.SH,20260522,49.4096,58.1508,4146808.4844,4146808.4844
688122.SH,20260521,48.1866,56.7114,4044161.4938,4044161.4938
688122.SH,20260520,48.5349,57.1214,4073396.3962,4073396.3962
688122.SH,20260519,49.1387,57.832,4124070.227,4124070.227
688122.SH,20260518,49.1077,57.7955,4121471.569,4121471.569
688122.SH,20260515,49.0845,57.7682,4119522.5755,4119522.5755
688122.SH,20260514,50.2069,59.0892,4213723.9275,4213723.9275
688122.SH,20260513,52.4673,61.7494,4403425.9607,4403425.9607
688122.SH,20260512,51.8248,60.9932,4349503.8074,4349503.8074
688122.SH,20260511,53.071,62.46,4454099.7914,4454099.7914
688122.SH,20260508,52.5137,61.804,4407323.9476,4407323.9476
688122.SH,20260507,52.5214,61.8132,4407973.6121,4407973.6121
688122.SH,20260506,50.6249,59.5811,4248805.8104,4248805.8104
688122.SH,20260430,50.0986,58.9616,4204628.6246,4204628.6246
688122.SH,20260429,48.6665,57.2762,4084440.6926,4084440.6926
688122.SH,20260428,52.3666,52.3666,4394980.3222,4394980.3222
688122.SH,20260427,54.5186,54.5186,4575587.0524,4575587.0524
688122.SH,20260424,54.1702,54.1702,4546352.15,4546352.15
688122.SH,20260423,58.4122,55.655,4677584.3784,4677584.3784
688122.SH,20260422,60.2944,57.4484,4828306.5417,4828306.5417
688122.SH,20260421,60.4647,57.6107,4841949.4961,4841949.4961
688122.SH,20260420,61.13,58.2445,4895221.9849,4895221.9849
688122.SH,20260417,59.6534,56.8377,4776983.0464,4776983.0464
688122.SH,20260416,59.84,57.0155,4791925.3299,4791925.3299
688122.SH,20260415,59.4669,56.6599,4762040.763,4762040.763
688122.SH,20260414,59.5967,56.7836,4772435.395,4772435.395
688122.SH,20260413,58.396,55.6396,4676285.0494,4676285.0494
688122.SH,20260410,58.8097,56.0338,4709417.9388,4709417.9388
688122.SH,20260409,58.5663,55.8019,4689928.0038,4689928.0038
688122.SH,20260408,59.4425,56.6367,4760091.7695,4760091.7695
688122.SH,20260407,55.6538,53.0269,4456698.4494,4456698.4494
688122.SH,20260403,55.6376,53.0114,4455399.1204,4455399.1204
688122.SH,20260402,56.4651,53.7999,4521664.8991,4521664.8991
688122.SH,20260401,58.3473,55.5932,4672387.0624,4672387.0624
688122.SH,20260331,57.5279,54.8125,4606770.9482,4606770.9482
688122.SH,20260330,57.8849,55.1526,4635356.1861,4635356.1861
688122.SH,20260327,58.2499,55.5004,4664591.0885,4664591.0885
688122.SH,20260326,58.2905,55.5391,4667839.4109,4667839.4109
688122.SH,20260325,58.1039,55.3613,4652897.1275,4652897.1275
688122.SH,20260324,56.9519,54.2637,4560644.7689,4560644.7689
688122.SH,20260323,55.3861,52.7718,4435259.521,4435259.521
688122.SH,20260320,57.7469,55.0212,4624311.8896,4624311.8896
688122.SH,20260319,58.039,55.2995,4647699.8115,4647699.8115
688122.SH,20260318,60.2376,57.3943,4823758.8902,4823758.8902
688122.SH,20260317,60.4079,57.5566,4837401.8447,4837401.8447
688122.SH,20260316,62.4118,59.4659,4997868.9754,4997868.9754
688122.SH,20260313,63.2799,60.293,5067383.0766,5067383.0766
688122.SH,20260312,64.0749,61.0505,5131050.1973,5131050.1973
688122.SH,20260311,67.7906,64.5908,5428596.5369,5428596.5369
688122.SH,20260310,68.3909,65.1628,5476671.7097,5476671.7097
688122.SH,20260309,67.4985,64.3125,5405208.615,5405208.615
688122.SH,20260306,69.7052,66.415,5581917.3582,5581917.3582
688122.SH,20260305,70.7112,67.3735,5662475.7559,5662475.7559
688122.SH,20260304,67.9042,64.699,5437691.8399,5437691.8399
688122.SH,20260303,68.2125,64.9927,5462379.0908,5462379.0908
688122.SH,20260302,73.8346,70.3495,5912596.5872,5912596.5872
688122.SH,20260227,73.2262,69.2486,5863871.7499,5863871.7499
688122.SH,20260226,70.484,66.6554,5644285.1499,5644285.1499
688122.SH,20260225,69.4862,65.7117,5564376.4168,5564376.4168
688122.SH,20260224,67.028,63.3871,5367528.0742,5367528.0742
688122.SH,20260213,67.0929,63.4485,5372725.3902,5372725.3902
688122.SH,20260212,68.7154,64.9829,5502658.2896,5502658.2896
688122.SH,20260211,67.4904,63.8244,5404558.9505,5404558.9505
688122.SH,20260210,67.8879,64.2003,5436392.5109,5436392.5109
688122.SH,20260209,68.0096,64.3154,5446137.4784,5446137.4784
688122.SH,20260206,66.241,62.6429,5304510.618,5304510.618
688122.SH,20260205,66.671,63.0495,5338942.8363,5338942.8363
688122.SH,20260204,67.9853,64.2924,5444188.4849,5444188.4849
688122.SH,20260203,68.7885,65.0519,5508505.2701,5508505.2701
688122.SH,20260202,66.3952,62.7887,5316854.2434,5316854.2434
688122.SH,20260130,68.7398,65.0059,5504607.2831,5504607.2831
688122.SH,20260129,71.4008,67.5224,5717697.2381,5717697.2381
688122.SH,20260128,73.1694,69.1949,5859324.0984,5859324.0984
688122.SH,20260127,73.6237,69.6245,5895705.3103,5895705.3103
688122.SH,20260126,72.2364,68.3126,5784612.6813,5784612.6813
688122.SH,20260123,76.4551,72.3021,6122438.2197,6122438.2197
688122.SH,20260122,74.4999,70.4531,5965869.076,5965869.076
688122.SH,20260121,71.0682,67.2078,5691060.9937,5691060.9937
688122.SH,20260120,70.265,66.4483,5626744.2085,5626744.2085
688122.SH,20260119,73.0071,69.0414,5846330.8085,5846330.8085
688122.SH,20260116,72.5771,68.6348,5811898.5902,5811898.5902
688122.SH,20260115,75.1489,71.0669,6017842.2357,6017842.2357
688122.SH,20260114,75.8466,71.7267,6073713.3825,6073713.3825
688122.SH,20260113,77.5341,73.3225,6208843.5978,6208843.5978
688122.SH,20260112,86.1661,81.4856,6900086.6226,6900086.6226
688122.SH,20260109,75.4085,71.3124,6038631.4996,6038631.4996
688122.SH,20260108,67.7419,64.0622,5424698.55,5424698.55
688122.SH,20260107,66.3222,62.7196,5311007.263,5311007.263
688122.SH,20260106,63.4502,60.0037,5081026.031,5081026.031
688122.SH,20260105,63.4421,59.996,5080376.3665,5080376.3665
688122.SH,20251231,60.5053,57.2187,4845197.8186,4845197.8186
688122.SH,20251230,60.0023,56.743,4804918.6198,4804918.6198
688122.SH,20251229,59.2884,56.0679,4747748.1441,4747748.1441
688122.SH,20251226,59.694,56.4515,4780231.3689,4780231.3689
688122.SH,20251225,60.7649,57.4642,4865987.0825,4865987.0825
688122.SH,20251224,59.5642,56.3287,4769836.737,4769836.737
688122.SH,20251223,58.4771,55.3007,4682781.6944,4682781.6944
688122.SH,20251222,59.0937,55.8837,4732156.1961,4732156.1961
688122.SH,20251219,57.7713,54.6332,4626260.8831,4626260.8831
688122.SH,20251218,56.0189,52.976,4485933.3518,4485933.3518
688122.SH,20251217,56.4083,53.3443,4517117.2476,4517117.2476
