ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_liquidity,total_score,sort_key,perilla_tag
920037.BJ,广信科技,电气设备,20250626,344,229,45.89,-0.16865942028985514,-0.445839874411303,-0.4640270964727867,False,-0.5875426927916593,-0.6110012583138595,-0.2458829767786701,0.6371359671210164,27.8061,7.4368,0.017467248908296942,58.761259779999996,180.8699319606987,7.417322270742359,29.0179,30.8453,71.26145,37.52115,38.9482,24.8981,18.314,4,1.783,True,,0.9299999999999999,0.9,0.9,0.0,0.3,0.7140000000000001,0.7140000000000001,B 中高 moat
920111.BJ,聚星科技,电气设备,20241111,571,380,34.08,-0.062448418156808905,0.2538631346578366,0.4595289079229121,True,-0.17481840193704357,-0.45883777239709267,0.25627339086550993,0.6708163785993009,28.1091,5.2354,0.06578947368421052,52.8766536,108.42801718684211,8.210927105263158,13.4864,290.0377,74.23157499999999,45.6021,28.4399,17.2921,49.2508,3,1.004,True,,0.5,0.8200000000000001,0.9,0.42000000000000004,0.3,0.6280000000000001,0.6280000000000001,B 中 moat
920106.BJ,林泰新材,汽车配件,20241218,534,353,45.79,-0.1953962396766824,-0.3518754423213023,-0.4434856587263004,False,-0.695545212765958,-0.7063164893617028,-0.23937778437006618,0.7063630586221261,20.5647,4.5307,0.0169971671388102,25.91416365,98.61317011048158,6.083150991501417,27.6947,-39.5784,83.41085000000001,36.336875,49.7435,30.9964,15.7256,3,0.969,True,,0.9299999999999999,0.52,0.9,0.0,0.3,0.619,0.619,B 中高 moat
920735.BJ,德源药业,化学制药,20210219,1932,827,25.11,-0.1287300485773768,-0.2704822777454968,-0.29426644182124784,False,-0.5789032366258593,-0.589803790038571,0.10066967054774789,0.5294767116706932,13.1723,2.4633,0.11124546553808948,32.4038496,57.1053315598549,1.8081943168077388,19.6391,19.5305,28.298775000000003,20.073150000000002,83.0024,18.8705,20.4381,4,1.555,True,,0.8500000000000001,0.52,1.0,0.0,0.1,0.595,0.595,A 高 moat
920982.BJ,锦波生物,医疗保健,20230720,1051,696,155.43,-0.1593834505137912,-0.14022568868237628,-0.3262970829179489,False,-0.7308571428571428,-0.7401731601731603,0.07152105695953326,0.5760280149535163,28.6588,8.7854,0.028735632183908046,178.84605796,171.01708415660917,1.5543022988505748,38.0198,-16.659,2.083874999999999,21.632900000000003,84.8199,37.5518,24.9085,2,5.815,True,,1.0,0.22,0.9,0.0,0.1,0.545,0.545,A 高 moat
920509.BJ,XD同惠电,电器仪表,20210111,1971,827,35.42,0.06302521008403361,0.09523809523809512,0.04514606078489236,True,-0.25853045844672395,-0.6061349693251525,0.32405390126809386,0.7601249250368765,80.477,17.0196,0.8198307134220073,56.780277520000006,81.96219431922611,3.8048730350665054,19.4341,15.4049,41.755849999999995,16.4074,58.877,25.7831,10.4513,4,1.554,True,,0.9299999999999999,0.62,0.1,0.4,0.2,0.534,0.534,A 高 moat
920946.BJ,森萱医药,化学制药,20200727,2139,827,9.26,-0.10875842155919158,-0.10358180058083255,-0.15123739688359306,False,-0.34045584045583954,-0.48970840480274425,0.0003139951845985145,0.5252319085354631,26.4434,3.1736,0.44740024183796856,39.53263828,45.630414310761786,1.0052579201934706,10.7045,62.0487,19.8036,8.07245,51.7321,31.2705,6.5063,3,0.943,True,,0.8300000000000001,0.47,0.6000000000000001,0.0,0.1,0.49650000000000005,0.49650000000000005,A 高 moat
920394.BJ,民士达,造纸,20230425,1137,753,49.96,-0.029902912621359246,-0.0449244886255018,0.39164345403899725,True,-0.20824088748018998,-0.4915254237288136,0.6185479883186373,0.6357015406794849,57.354,8.9774,0.8937583001328021,73.0665,79.1688224183267,5.132254316069057,16.6634,0.0957,24.492324999999997,13.94905,41.6339,26.9686,20.9763,4,2.036,True,,0.8600000000000001,0.45,0.2,0.27,0.3,0.481,0.481,B 中高 moat
920978.BJ,开特股份,汽车配件,20230928,981,646,23.92,-0.13427433948606582,-0.13018181818181807,-0.2846889952153109,False,-0.48169014084506956,-0.5187432286023828,0.5497042138281356,0.6743732683580915,25.9799,5.5357,0.5061919504643962,43.06280955,91.4778579504644,4.468603715170278,23.7335,-18.4508,21.091425,33.379975,29.2059,12.6389,39.5444,3,1.857,True,,0.6699999999999999,0.52,0.6000000000000001,0.0,0.2,0.471,0.471,B 中 moat
920116.BJ,星图测控,软件服务,20250102,519,343,63.29,-0.43551551908669284,-0.37479008199150454,-0.18723513548221404,False,-0.5665068493150682,-0.6222602739726024,0.5124072735906382,0.9212288111065712,139.4114,24.3788,0.641399416909621,141.5702365,361.63871024781344,11.31402390670554,18.9778,5.349,13.659750000000003,7.3235,56.2448,32.0502,28.172,4,3.108,True,,0.9299999999999999,0.35000000000000003,0.25,0.0,0.5,0.46649999999999997,0.46649999999999997,A 高 moat
920208.BJ,青矩技术,建筑工程,20230629,1072,711,20.6,-0.14593698175787728,-0.14876033057851235,-0.17202572347266876,False,-0.5734106440256781,-0.639884033961483,-0.1578962015360067,0.6269820517078815,14.2892,2.5159,0.42334739803094235,27.404242619999998,42.841915873417726,2.527172151898734,18.3252,20.984,6.275625000000001,1.8101749999999999,36.5314,9.4758,26.4065,4,1.505,True,,0.71,0.35000000000000003,0.7000000000000001,0.0,0.2,0.4605,0.4605,B 中 moat
920239.BJ,长虹能源,电气设备,20210209,1942,827,27.42,-0.12143543735982054,-0.11917764214583992,-0.16300366300366287,False,-0.528460877042133,-0.6882352941176471,0.046751593164766625,0.6541961278934545,19.3731,4.3383,0.06813996316758748,49.92474674,82.43322783071342,3.9402777509068923,24.9781,14.1501,22.016375,22.453325,16.2364,7.4494,73.3724,4,1.483,True,,0.24999999999999997,0.52,1.0,0.0,0.2,0.42500000000000004,0.42500000000000004,C 低 moat
920077.BJ,吉林碳谷,化纤,20210831,1739,827,17.86,-0.08080288214101905,0.0630952380952381,0.2657689581856839,True,-0.6612933813768244,-0.8699032808647827,-0.25526376452770694,0.631363359719159,53.4783,3.928,0.4244256348246675,104.95997252,78.74930268923822,1.6592149939540508,7.0377,75.2542,60.0075,55.0751,17.6634,6.0847,60.0623,4,2.893,True,,0.13,0.9,0.5,0.14999999999999997,0.1,0.3965,0.3965,C 价格战赛道
