ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,rel_ret_20d,rel_ret_60d,rel_ret_120d,idx_ret_60d,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,holder_latest,holder_change_4q,holder_n_quarters,attention_ratio,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_attention,s_liquidity,total_score,sort_key,perilla_tag
920735.BJ,德源药业,化学制药,20210219,2021,889,26.66,0.09983498349834985,0.07370116794200565,-0.23059163059163057,True,-0.5529096092570851,-0.627201073285259,0.11116658457925066,0.5347700593973902,0.11135383668869048,0.24662571823654,-0.005994721733694863,-0.17292455029453435,12.8468,2.4776,0.12485939257592801,34.40408723,59.06692726223847,1.8874490438695162,8309.0,-0.13085774058577404,15,0.9601155778894471,19.6391,31.573,29.136825,16.224625,82.0636,21.5365,18.8222,4,1.761,True,,0.9299999999999999,0.62,1.0,0.65,0.6799999999999999,0.1,0.7719999999999998,0.7719999999999998,A 高 moat
920037.BJ,广信科技,电气设备,20250626,433,291,41.84,0.030541871921182295,-0.12395309882747063,-0.5103569338794616,True,-0.6239439151536941,-0.6750853855833185,-0.2579495110810416,0.6059554024969914,0.04206072511152292,0.04897145146706372,-0.28576002502152587,-0.17292455029453435,24.1225,5.8816,0.054982817869415807,53.57531291,153.49102994254295,6.329987972508591,6440.0,-0.4777390317087017,9,0.5778694580729324,29.0179,25.1421,37.85695,31.00495,38.1472,24.8082,17.9073,4,1.877,True,,0.9299999999999999,0.7,0.9,0.42000000000000004,0.7,0.3,0.761,0.761,B 中高 moat
920946.BJ,森萱医药,化学制药,20200727,2228,889,10.42,0.12405609492988146,0.10498409331919412,-0.0047755491881567025,True,-0.2578347578347565,-0.48970840480274425,0.032713837582910577,0.524769647607948,0.13557494812022208,0.27790864361372847,0.219821359669779,-0.17292455029453435,28.8962,3.4488,0.5039370078740157,44.48489103,46.2383694047919,1.023420472440945,10415.0,-0.1675325713372232,15,1.735817386209864,10.7045,33.072,33.608599999999996,19.218625,50.7175,29.5149,6.6664,4,1.108,True,,0.8300000000000001,0.72,0.6000000000000001,0.77,0.8200000000000001,0.1,0.7130000000000002,0.7130000000000002,A 高 moat
920174.BJ,五新智能,工程机械,20210820,1839,879,35.68,0.2825305535585909,-0.04240472356414382,-0.1759815242494226,True,-0.5663060653944331,-0.6868846481098823,0.5233703135015366,0.6812361035882232,0.29404940674893154,0.13051982673039053,0.04861538460851311,-0.17292455029453435,19.6645,2.7357,0.5597269624573379,77.39166511,90.60593784003414,3.3546484641638226,8221.0,-0.07107344632768364,16,1.324267215843372,11.8017,224.7559,138.71882499999998,112.845025,35.8004,17.8752,38.3827,4,1.968,True,,0.58,0.9,0.7000000000000001,0.62,0.6,0.2,0.671,0.671,B 中高 moat
920111.BJ,聚星科技,电气设备,20241111,660,442,29.97,0.10876803551609315,-0.10803571428571435,0.14651874521805652,True,-0.27433414043583304,-0.45883777239709267,0.13443502114737904,0.669986106211037,0.12028688870643378,0.06488883600882,0.37111565407599223,-0.17292455029453435,18.6256,4.2193,0.01809954751131222,46.49980365,109.3695353002715,7.744093212669683,7069.0,-0.10109359104781279,15,0.6902179685670012,13.4864,239.9803,193.35472499999997,109.09755000000001,22.7613,13.7361,53.8348,4,1.558,True,,0.3,0.9,1.0,0.7000000000000001,0.55,0.3,0.655,0.655,C 低 moat
920509.BJ,同惠电子,电器仪表,20210111,2060,889,22.27,0.09327442317133028,-0.3685851998865892,-0.337202380952381,False,-0.5338078291814947,-0.615658362989324,0.14532071263612556,0.7506221379517798,0.1047932763616709,-0.19566064959205487,-0.11260547209444527,-0.17292455029453435,49.5223,10.0711,0.5253093363329584,35.7000785,81.57672453911137,3.789168616422947,7965.0,-0.054823780704877145,15,0.8515776216551896,19.4341,10.451,30.518499999999996,15.474850000000002,57.8495,28.3312,11.176,4,1.114,True,,0.9299999999999999,0.62,0.55,0.05,0.53,0.2,0.612,0.612,A 高 moat
920571.BJ,国航远洋,水运,20221215,1357,889,9.08,0.052143684820394,-0.06488156539649848,-0.18565022421524668,True,-0.4405422057917442,-0.5268022181146027,0.23009529140651708,0.6994181830065402,0.06366253801073463,0.10804298489803588,0.03894668464268902,-0.17292455029453435,28.6067,3.7064,0.30043541364296084,50.430996730000004,160.41388038186727,7.058151293588302,14955.0,-0.37505223568742163,15,1.1509466399878647,2.0435,603.8063,379.89642499999997,30.133000000000003,36.127,19.3123,72.0889,4,1.717,True,,0.15,0.9,0.75,0.5399999999999999,0.8300000000000001,0.3,0.5720000000000001,0.5720000000000001,B 中高 moat
920208.BJ,青矩技术,建筑工程,20230629,1161,773,12.88,0.019794140934283444,-0.39841195702942545,-0.4768480909829407,False,-0.7332781114102301,-0.7564713191136883,-0.26217220519239914,0.6390691457312168,0.03131299412462407,-0.2254874067348911,-0.25225118212500497,-0.17292455029453435,12.134,2.2913,0.24838292367399742,23.98802434,41.18918242009056,2.4125394566623544,5349.0,-0.0020522388059701635,15,0.9703983345239061,18.3252,13.652,9.54745,1.168425,46.9704,19.0812,25.3283,4,1.392,True,,0.78,0.35000000000000003,0.85,0.0,0.43,0.2,0.5445000000000001,0.5445000000000001,B 中高 moat
920106.BJ,林泰新材,汽车配件,20241218,623,415,39.48,0.0722433460076044,-0.15206185567010322,-0.4426090639559509,True,-0.7375000000000007,-0.7798537234042557,-0.2728309486606889,0.6716649713194521,0.08376219919794503,0.020862694624431133,-0.2180121550980152,-0.17292455029453435,20.0038,3.7315,0.13734939759036144,22.3431138,87.56282505493975,5.393087228915662,4705.0,0.26105601715357807,11,0.9117154903016933,27.6947,-39.2508,-10.964199999999998,-7.592224999999999,48.0788,27.688,14.6213,1,0.869,True,,0.9299999999999999,0.0,0.9,0.35,0.27999999999999997,0.3,0.5369999999999999,0.5369999999999999,B 中高 moat
920029.BJ,开发科技,电器仪表,20250328,523,350,34.0,-0.01220220801859384,-0.17133804533268338,-0.6096888990931006,False,-0.7210370856580244,-0.747620610436495,-0.42517696495529245,0.5119659120587605,-0.0006833548282532131,0.0015865049618509763,-0.38509199023516494,-0.17292455029453435,14.243,1.9054,0.16285714285714287,70.35998522,150.10959704022858,4.621035428571428,8023.0,-0.30428373222337846,14,0.9426209687682947,24.1759,-53.7845,-40.317325000000004,-17.515625,36.2911,13.455,30.8542,1,1.801,True,,0.75,0.0,1.0,0.0,0.8300000000000001,0.2,0.518,0.518,B 中 moat
