ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps_ttm,total_mv,circ_mv,mom_1d,mom_5d,mom_10d,mom_20d,mom_60d,ma_5_ratio,ma_5_slope,ma_10_ratio,ma_10_slope,ma_20_ratio,ma_20_slope,ma_60_ratio,ma_60_slope,macd,macd_signal,macd_hist,rsi_14,kdj_k,kdj_d,kdj_j,boll_upper,boll_lower,boll_width,boll_position,amplitude,body_ratio,upper_shadow,lower_shadow,close_to_high_20d,close_to_low_20d,close_to_high_60d,close_to_low_60d,bbi,bbi_bull,vol_ma5_ratio,amt_ma5_ratio,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
920128.BJ,2024-11-29,52.0,60.0,46.01,46.14,9.12,37.02,405.9211,156123.17,858441.057,91.3001,91.3001,,79.8076,77.4104,7.0497,6.035,362152.86,78899.4,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.3032076289553533,-0.1270047680970958,0.17338534893801474,0.0028175119202427947,,,,,,0,,,-0.08972691807542266,-0.14629388816644995,-0.25119202427394893,-0.34547030775899434
920128.BJ,2024-12-02,41.53,44.68,39.93,42.0,46.14,-4.14,-8.9727,101264.89,420391.887,59.2192,59.2192,,72.6467,70.4646,6.4172,5.4935,329658.0,71820.0,-0.08972691807542266,,,,,,,,,,,,,-0.09288461538461235,-0.051602564102562413,-0.04128205128204993,,,,,,,,,0.1130952380952381,0.011190476190476164,0.0638095238095238,0.038095238095238126,,,,,,0,,,-0.03142857142857147,-0.15166666666666662,-0.1478571428571429,-0.31404761904761913
920128.BJ,2024-12-03,41.11,43.58,40.39,40.68,42.0,-1.32,-3.1429,69287.48,288056.17,40.519,40.519,,70.3635,68.25,6.2155,5.3208,319297.32,69562.8,-0.03142857142857147,,,,,,,,,,,,,-0.15928655738898811,-0.09573534823634343,-0.06355120915264469,,,,,,,,,0.07841691248770889,-0.010570304818092421,0.06071779744346113,0.007128810226155338,,,,,,0,,,-0.04842674532940017,-0.12708947885939037,-0.08874139626352018,-0.29252704031465093
920128.BJ,2024-12-04,40.0,40.65,38.64,38.71,40.68,-1.97,-4.8427,51450.63,202468.655,30.0881,30.0881,,66.956,64.9449,5.9145,5.0631,303834.79,66194.1,-0.04842674532940017,,,,,,,,,,,,,-0.2567098528837519,-0.1502660069922406,-0.10644384589151132,,,,,,,,,0.051924567295272485,-0.03332472229398086,0.016791526737277154,0.0018083182640144739,,,,,,0,,,-0.044432963058641195,-0.11831568070266074,-0.11185740118832344,-0.25109790751743744
920128.BJ,2024-12-05,38.37,38.37,36.5,36.99,38.71,-1.72,-4.4433,47345.22,175991.754,27.6873,27.6873,,63.981,62.0592,5.6517,4.8382,290334.51,63252.9,-0.044432963058641195,,,,,0.9043125366712301,,,,,,,,-0.37268658429922397,-0.21643110019398482,-0.15625548410523915,,,,,,,,,0.0505542038388753,-0.03730738037307368,0.0,0.01324682346580162,,,,,,0,0.5563854716529824,0.45233967448840806,0.064882400648824,-0.05866450391997846,-0.10489321438226551,-0.19599891862665597
920128.BJ,2024-12-06,37.3,40.5,37.08,39.39,36.99,2.4,6.4882,69828.61,272495.456,40.8354,40.8354,0.82,68.1322,66.0857,6.0184,5.1521,309172.11,67356.9,0.064882400648824,-0.14629388816644995,,,,0.9958537695302626,,,,,,,,-0.3327736541600217,-0.24796640083964924,-0.08480725332037245,,,,,,,,,0.08682406702208686,0.05305915206905314,0.028179741051028166,0.005585173902005556,,,,,,0,1.0293835519366108,1.0022608129565187,-0.09545569941609544,-0.12287382584412299,-0.17314039096217315,-0.27062706270627057
920128.BJ,2024-12-09,38.52,38.78,35.51,35.63,39.39,-3.76,-9.5456,53347.78,194325.582,31.1975,31.1975,0.79,61.6286,59.7775,5.4439,4.6603,279659.87,60927.3,-0.09545569941609544,-0.15166666666666662,,,,0.9307732497387672,,,,,,,,-0.4717795289654134,-0.3046075327773416,-0.16717199618807183,,,,,,,,,0.0917765927589111,-0.08111142295818131,0.00729722144260449,0.003367948358125303,,,,,,0,0.9158111530149106,0.8573155037171946,-0.003367948358125261,0.0044905978108333855,-0.12152680325568344,-0.13191131069323614
920128.BJ,2024-12-10,37.5,37.55,35.51,35.51,35.63,-0.12,-0.3368,31414.31,113867.244,18.3709,18.3709,0.54,61.421,59.5761,5.4256,4.6446,278717.99,60722.1,-0.003367948358125261,-0.12708947885939037,,,,0.9533909681576545,,,,,,,,-0.5631088245348508,-0.36673025430454,-0.1963785702303108,,,,,,,,,0.057448606026471394,-0.05604055195719521,0.0014080540692761802,0.0,,,,,,0,0.61988905883126,0.5935849418784225,-0.03886229231202465,0.04393128696141946,-0.11574204449450853,-0.11940298507462688
920128.BJ,2024-12-11,35.48,35.48,34.1,34.13,35.51,-1.38,-3.8862,25776.86,88866.725,15.0742,15.0742,0.51,59.0341,57.2609,5.2147,4.4641,267886.37,58362.3,-0.03886229231202465,-0.11831568070266074,,,,0.9394439856867604,,,,,,,,-0.6862515266357505,-0.44054125336625566,-0.24571027326949485,,0.11583011578539816,0.11583011578539816,0.11583011578539817,,,,,0.04043363609727499,-0.03955464400820376,0.0,0.0008789920890712316,,,,,,0,0.5659950223259319,0.5254985832770519,0.020216818048637508,0.007324934075593426,-0.1292118370934663,-0.0621154409610315
920128.BJ,2024-12-12,34.3,35.78,34.07,34.82,34.13,0.69,2.0217,22962.36,80116.531,13.4283,13.4283,0.5,60.2275,58.4185,5.3202,4.5543,273302.18,59542.2,0.020216818048637508,-0.05866450391997846,,,,0.9700245152663249,-0.12243301388617256,0.9067708333333334,,,,,,-0.7280800274500621,-0.504966630363957,-0.22311339708610511,,4.287613851930293,2.618900357472335,7.62504084084621,,,,,0.04910970706490525,0.014933946008041446,0.02757036186099945,0.006605399195864356,,,,,,0,0.5646576755649144,0.5343442223626209,-0.007754164273406139,-0.04910970706490525,-0.13009764503159105,-0.16858127512923615
