symbol,ts_code,name,data_asof,close,pct_chg,m_DIF,m_DEA,m_HIST,m_rel_max_pct,m_rel_dif_pct,m_dif_abs_pctile,w_DIF,w_DEA,w_HIST,w_bull,w_x_1,w_x_2,w_x_3,w_x_4,w_x_8,m_near_3,m_near_5,m_near_8,m_zero_side
688271,688271.SH,联影医疗,2026-07-14,110.21,1.68,-6.8604,-4.7141,-4.2925,6.225,6.225,0.442,-5.4527,-5.5016,0.0977,True,0.0,0.0,0.0,0.0,0.0,False,False,True,below
688278,688278.SH,特宝生物,2026-07-14,55.68,-0.13,-0.9054,3.0992,-8.0092,5.566,1.626,0.279,-4.7942,-4.9709,0.3535,True,,1.0,1.0,1.0,1.0,False,False,True,below
300759,300759.SZ,康龙化成,2026-07-14,36.93,8.36,-0.9443,-2.1832,2.4778,5.912,2.557,0.047,0.4088,-0.6298,2.0773,True,,1.0,1.0,1.0,1.0,False,False,True,below
300474,300474.SZ,景嘉微,2026-07-14,59.71,1.2,-3.6539,-1.489,-4.3298,6.119,6.119,0.721,-3.391,-3.8378,0.8935,True,,1.0,1.0,1.0,1.0,False,False,True,below
689009,689009.SH,九号公司-WD,2026-07-14,38.52,3.77,-1.0372,2.3702,-6.8149,6.153,2.693,0.488,-4.3894,-4.6389,0.4989,True,,1.0,1.0,1.0,1.0,False,False,True,below
688065,688065.SH,凯赛生物,2026-07-14,42.93,-0.19,-1.3301,-0.9141,-0.832,3.098,3.098,0.349,-1.555,-1.4185,-0.2729,False,,,2.0,2.0,2.0,False,True,True,below
300059,300059.SZ,东方财富,2026-07-14,19.6,-1.21,0.1672,0.849,-1.3637,4.332,0.853,0.093,-0.7315,-0.9452,0.4274,True,,,,3.0,3.0,False,True,True,above
300316,300316.SZ,晶盛机电,2026-07-14,42.87,-0.16,2.1451,-0.2174,4.7251,5.004,5.004,0.326,1.8774,2.5758,-1.3968,False,,,,,4.0,False,False,True,above
301236,301236.SZ,软通动力,2026-07-14,39.51,-4.03,-2.0074,0.1517,-4.318,5.081,5.081,0.558,-1.8286,-2.3883,1.1194,True,,,,,5.0,False,False,True,below
688538,688538.SH,和辉光电-U,2026-07-14,2.39,3.02,0.0039,0.02,-0.0321,0.835,0.165,0.116,-0.0333,-0.0562,0.0457,True,,,,,6.0,True,True,True,above
