symbol,ts_code,name,data_asof,close,pct_chg,m_DIF,m_DEA,m_HIST,m_rel_max_pct,m_rel_dif_pct,m_dif_abs_pctile,w_DIF,w_DEA,w_HIST,w_bull,w_x_1,w_x_2,w_x_3,w_x_4,w_x_8,m_near_3,m_near_5,m_near_8,m_zero_side
300002,300002.SZ,神州泰岳,2026-07-14,7.9,-1.74,-0.432,0.2435,-1.351,5.469,5.469,0.163,-0.9966,-0.9761,-0.041,False,,,,,,False,False,True,below
300014,300014.SZ,亿纬锂能,2026-07-14,52.26,1.0,2.4619,2.6137,-0.3036,5.001,4.711,0.116,-2.6329,-1.1858,-2.8942,False,,,,,,False,False,True,above
300015,300015.SZ,爱尔眼科,2026-07-14,8.4,1.82,-2.2067,-2.2501,0.0867,26.786,26.27,0.326,-0.7608,-0.6915,-0.1385,False,,,,,,False,False,False,below
300017,300017.SZ,网宿科技,2026-07-14,14.27,-2.86,1.6414,1.6322,0.0184,11.502,11.502,0.884,-0.1068,0.4348,-1.0834,False,,,,,,False,False,False,above
300024,300024.SZ,机器人,2026-07-14,15.21,0.73,0.6295,1.0336,-0.8082,6.796,4.139,0.419,-0.223,-0.3809,0.3157,True,,,,,,False,False,True,above
300033,300033.SZ,同花顺,2026-07-14,217.69,0.6,12.6279,30.9342,-36.6125,14.21,5.801,0.442,-24.2056,-25.0474,1.6836,True,,,2.0,2.0,2.0,False,False,False,above
300058,300058.SZ,蓝色光标,2026-07-14,12.42,-2.82,2.0955,1.865,0.461,16.872,16.872,0.884,0.0125,0.7557,-1.4864,False,,,,,,False,False,False,above
300059,300059.SZ,东方财富,2026-07-14,19.6,-1.21,0.1672,0.849,-1.3637,4.332,0.853,0.093,-0.7315,-0.9452,0.4274,True,,,,3.0,3.0,False,True,True,above
300073,300073.SZ,当升科技,2026-07-14,41.24,0.98,1.4073,2.1168,-1.4189,5.133,3.413,0.116,-3.1954,-1.3771,-3.6366,False,,,,,,False,False,True,above
300115,300115.SZ,长盈精密,2026-07-14,28.5,-3.85,4.1679,5.3106,-2.2853,18.634,14.624,0.767,-1.4659,-0.801,-1.3298,False,,,,,,False,False,False,above
300122,300122.SZ,智飞生物,2026-07-14,12.06,1.34,-8.3096,-9.2634,1.9077,76.811,68.902,0.163,-1.7087,-1.6485,-0.1204,False,,,,,,False,False,False,below
300124,300124.SZ,汇川技术,2026-07-14,60.25,-1.15,0.8888,1.945,-2.1124,3.228,1.475,0.233,-1.8791,-0.8366,-2.085,False,,,,,,False,True,True,above
300136,300136.SZ,信维通信,2026-07-14,89.7,3.93,20.1725,13.4911,13.3628,22.489,22.489,1.0,11.9272,13.5143,-3.1742,False,,,,,,False,False,False,above
300207,300207.SZ,欣旺达,2026-07-14,16.68,0.36,0.3558,1.4571,-2.2026,8.736,2.133,0.116,-2.4109,-1.5099,-1.802,False,,,,,,False,False,False,above
300223,300223.SZ,北京君正,2026-07-14,207.69,9.21,30.7294,16.4965,28.4658,14.796,14.796,1.0,29.6454,20.8564,17.578,True,,,,,,False,False,False,above
300251,300251.SZ,光线传媒,2026-07-14,11.51,-2.46,0.3904,1.5042,-2.2277,13.069,3.392,0.605,-1.5689,-1.4002,-0.3374,False,,,,,,False,False,False,above
300255,300255.SZ,常山药业,2026-07-14,25.24,-0.39,4.3908,8.1191,-7.4565,32.168,17.396,0.674,-6.049,-4.5127,-3.0726,False,,,,,,False,False,False,above
300274,300274.SZ,阳光电源,2026-07-14,108.29,0.27,14.2543,13.7528,1.003,13.163,13.163,0.837,-5.9383,-1.0029,-9.8708,False,,,,,7.0,False,False,False,above
300308,300308.SZ,中际旭创,2026-07-14,1184.05,6.86,253.1356,163.6928,178.8855,21.379,21.379,1.0,172.5766,166.5627,12.0279,True,,,,,,False,False,False,above
300316,300316.SZ,晶盛机电,2026-07-14,42.87,-0.16,2.1451,-0.2174,4.7251,5.004,5.004,0.326,1.8774,2.5758,-1.3968,False,,,,,4.0,False,False,True,above
300339,300339.SZ,润和软件,2026-07-14,35.7,-4.16,0.906,4.0475,-6.2829,11.337,2.538,0.372,-3.1923,-2.9198,-0.545,False,,,,,,False,False,False,above
300346,300346.SZ,南大光电,2026-07-14,70.53,0.54,9.1737,5.5023,7.3427,13.007,13.007,1.0,7.0226,5.1451,3.755,True,,,,,6.0,False,False,False,above
300347,300347.SZ,泰格医药,2026-07-14,48.7,6.08,-4.709,-4.6835,-0.051,9.669,9.669,0.279,-3.007,-3.1649,0.3157,True,0.0,0.0,0.0,0.0,0.0,False,False,False,below
300373,300373.SZ,扬杰科技,2026-07-14,113.3,-0.01,17.6871,10.8895,13.5952,15.611,15.611,1.0,13.1262,10.1937,5.865,True,,,,,,False,False,False,above
300394,300394.SZ,天孚通信,2026-07-14,273.51,5.48,63.9713,50.479,26.9846,23.389,23.389,0.953,12.7072,31.3696,-37.3246,False,,,,,,False,False,False,above
300395,300395.SZ,菲利华,2026-07-14,102.16,3.8,19.6694,16.151,7.0368,19.254,19.254,0.977,5.8678,9.1794,-6.6233,False,,,,,,False,False,False,above
300408,300408.SZ,三环集团,2026-07-14,121.88,9.02,22.634,11.9713,21.3253,18.571,18.571,1.0,23.0304,20.6039,4.8531,True,,,,,,False,False,False,above
300418,300418.SZ,昆仑万维,2026-07-14,45.93,-4.71,3.2897,3.7111,-0.8427,8.08,7.162,0.512,-1.0415,-0.5706,-0.9419,False,,,,,,False,False,False,above
300433,300433.SZ,蓝思科技,2026-07-14,40.32,2.0,5.9147,4.5726,2.6843,14.669,14.669,1.0,4.48,3.5628,1.8344,True,,,,,,False,False,False,above
300442,300442.SZ,润泽科技,2026-07-14,71.6,-7.61,11.2381,9.5793,3.3176,15.696,15.696,0.93,2.3771,5.2054,-5.6566,False,,,,,,False,False,False,above
300450,300450.SZ,先导智能,2026-07-14,34.47,1.44,4.7209,5.131,-0.8202,14.886,13.696,0.488,-3.2344,-1.0511,-4.3665,False,,,,,,False,False,False,above
300458,300458.SZ,全志科技,2026-07-14,38.78,-2.93,1.7114,3.1244,-2.8261,8.057,4.413,0.535,-0.9524,-1.5898,1.2746,True,,,,3.0,3.0,False,False,False,above
300474,300474.SZ,景嘉微,2026-07-14,59.71,1.2,-3.6539,-1.489,-4.3298,6.119,6.119,0.721,-3.391,-3.8378,0.8935,True,,1.0,1.0,1.0,1.0,False,False,True,below
300476,300476.SZ,胜宏科技,2026-07-14,290.28,6.33,72.0196,66.4606,11.1181,24.81,24.81,0.953,9.6797,18.2364,-17.1134,False,,,,,,False,False,False,above
300496,300496.SZ,中科创达,2026-07-14,53.72,-3.73,-2.1433,-2.0245,-0.2376,3.99,3.99,0.279,-2.1147,-1.2857,-1.6579,False,,,,,,False,True,True,below
300502,300502.SZ,新易盛,2026-07-14,568.82,10.99,129.2959,99.9818,58.6283,22.731,22.731,1.0,45.6758,58.081,-24.8104,False,,,,,,False,False,False,above
300548,300548.SZ,长芯博创,2026-07-14,213.89,3.47,52.601,39.0793,27.0432,24.593,24.593,0.977,22.6643,28.9679,-12.6072,False,,,,,4.0,False,False,False,above
300604,300604.SZ,长川科技,2026-07-14,335.62,3.19,59.0664,31.7187,54.6954,17.599,17.599,1.0,55.5398,41.0436,28.9925,True,,,,,,False,False,False,above
300724,300724.SZ,捷佳伟创,2026-07-14,58.68,-0.73,1.1736,3.1626,-3.978,5.39,2.0,0.14,-10.3577,-6.1785,-8.3585,False,,,,,,False,False,True,above
