symbol,ts_code,name,data_asof,close,pct_chg,m_DIF,m_DEA,m_HIST,m_rel_max_pct,m_rel_dif_pct,m_dif_abs_pctile,w_DIF,w_DEA,w_HIST,w_bull,w_x_1,w_x_2,w_x_3,w_x_4,w_x_8,m_near_3,m_near_5,m_near_8,m_zero_side
688538,688538.SH,,2026-07-14,2.39,3.02,0.0039,0.02,-0.0321,0.835,0.165,0.116,-0.0333,-0.0562,0.0457,True,,,,,6.0,True,True,True,above
688065,688065.SH,,2026-07-14,42.93,-0.19,-1.3301,-0.9141,-0.832,3.098,3.098,0.349,-1.555,-1.4185,-0.2729,False,,,2.0,2.0,2.0,False,True,True,below
300059,300059.SZ,,2026-07-14,19.6,-1.21,0.1672,0.849,-1.3637,4.332,0.853,0.093,-0.7315,-0.9452,0.4274,True,,,,3.0,3.0,False,True,True,above
300316,300316.SZ,,2026-07-14,42.87,-0.16,2.1451,-0.2174,4.7251,5.004,5.004,0.326,1.8774,2.5758,-1.3968,False,,,,,4.0,False,False,True,above
301236,301236.SZ,,2026-07-14,39.51,-4.03,-2.0074,0.1517,-4.318,5.081,5.081,0.558,-1.8286,-2.3883,1.1194,True,,,,,5.0,False,False,True,below
688278,688278.SH,,2026-07-14,55.68,-0.13,-0.9054,3.0992,-8.0092,5.566,1.626,0.279,-4.7942,-4.9709,0.3535,True,,1.0,1.0,1.0,1.0,False,False,True,below
300759,300759.SZ,,2026-07-14,36.93,8.36,-0.9443,-2.1832,2.4778,5.912,2.557,0.047,0.4088,-0.6298,2.0773,True,,1.0,1.0,1.0,1.0,False,False,True,below
300474,300474.SZ,,2026-07-14,59.71,1.2,-3.6539,-1.489,-4.3298,6.119,6.119,0.721,-3.391,-3.8378,0.8935,True,,1.0,1.0,1.0,1.0,False,False,True,below
689009,689009.SH,,2026-07-14,38.52,3.77,-1.0372,2.3702,-6.8149,6.153,2.693,0.488,-4.3894,-4.6389,0.4989,True,,1.0,1.0,1.0,1.0,False,False,True,below
688271,688271.SH,,2026-07-14,110.21,1.68,-6.8604,-4.7141,-4.2925,6.225,6.225,0.442,-5.4527,-5.5016,0.0977,True,0.0,0.0,0.0,0.0,0.0,False,False,True,below
300458,300458.SZ,,2026-07-14,38.78,-2.93,1.7114,3.1244,-2.8261,8.057,4.413,0.535,-0.9524,-1.5898,1.2746,True,,,,3.0,3.0,False,False,False,above
300347,300347.SZ,,2026-07-14,48.7,6.08,-4.709,-4.6835,-0.051,9.669,9.669,0.279,-3.007,-3.1649,0.3157,True,0.0,0.0,0.0,0.0,0.0,False,False,False,below
688114,688114.SH,,2026-07-14,52.04,-1.06,-5.3303,-4.6298,-1.4009,10.243,10.243,0.442,-2.1001,-2.9875,1.7748,True,,,,,5.0,False,False,False,below
688578,688578.SH,,2026-07-14,118.15,0.46,12.8255,13.6007,-1.5504,11.511,10.855,0.721,3.7968,0.0926,7.4084,True,,,2.0,2.0,2.0,False,False,False,above
688506,688506.SH,,2026-07-14,304.1,1.51,29.0594,39.3594,-20.6002,12.943,9.556,0.535,-4.4273,-12.9033,16.9518,True,,,2.0,2.0,2.0,False,False,False,above
