ts_code,name,industry,concept
688526.SH,科前生物,农业综合,
688005.SH,容百科技,电气设备,
688499.SH,利元亨,专用机械,
688218.SH,江苏北人,专用机械,
688116.SH,天奈科技,化工原料,
688002.SH,睿创微纳,通信设备,
688099.SH,晶晨股份,半导体,集成电路概念 / 转融券标的
688007.SH,光峰科技,元器件,
688088.SH,虹软科技,软件服务,
688027.SH,国盾量子,通信设备,量子科技 / 转融券标的
688278.SH,特宝生物,生物制药,转融券标的 / 融资融券
688321.SH,微芯生物,化学制药,
688001.SH,华兴源创,专用机械,
688288.SH,鸿泉技术,IT设备,
688010.SH,福光股份,元器件,
688036.SH,传音控股,通信设备,转融券标的 / 融资融券
688015.SH,交控科技,运输设备,
688568.SH,中科星图,软件服务,转融券标的 / 融资融券
688039.SH,当虹科技,软件服务,
688011.SH,新光光电,元器件,
688019.SH,安集科技,半导体,
688108.SH,赛诺医疗,医疗保健,
688012.SH,中微公司,半导体,集成电路概念 / 转融券标的
688008.SH,澜起科技,半导体,转融券标的 / 融资融券
688158.SH,优刻得-W,软件服务,
688097.SH,博众精工,专用机械,
688123.SH,聚辰股份,半导体,
688139.SH,海尔生物,医疗保健,
688003.SH,天准科技,专用机械,
688018.SH,乐鑫科技,半导体,
688078.SH,龙软科技,软件服务,
688513.SH,苑东生物,化学制药,
688068.SH,热景生物,医疗保健,
688022.SH,ST瀚川,专用机械,
688100.SH,威胜信息,通信设备,
688168.SH,安博通,软件服务,
688333.SH,铂力特,机械基件,
688166.SH,博瑞医药,化学制药,
688030.SH,山石网科,软件服务,
688023.SH,安恒信息,软件服务,
688787.SH,海天瑞声,软件服务,
688169.SH,石头科技,家用电器,转融券标的 / 融资融券
688363.SH,华熙生物,医疗保健,
688188.SH,柏楚电子,专用机械,转融券标的 / 融资融券
688258.SH,卓易信息,软件服务,
688186.SH,广大特材,特种钢,
688133.SH,泰坦科技,化工原料,
688016.SH,心脉医疗,医疗保健,
688066.SH,*ST航图,软件服务,
688033.SH,*ST天宜,电气设备,
688268.SH,华特气体,化工原料,
688028.SH,沃尔德,机械基件,
688057.SH,金达莱,环境保护,
688388.SH,嘉元科技,电气设备,
688198.SH,佰仁医疗,医疗保健,
688122.SH,西部超导,小金属,转融券标的 / 超导
688389.SH,普门科技,医疗保健,
688009.SH,中国通号,运输设备,高铁 / 转融券标的
688080.SH,映翰通,通信设备,
688366.SH,昊海生科,医疗保健,
688199.SH,久日新材,化工原料,
688178.SH,万德斯,环境保护,
688006.SH,杭可科技,电气设备,
688588.SH,凌志软件,软件服务,
688300.SH,联瑞新材,矿物制品,
688020.SH,方邦股份,元器件,
688058.SH,宝兰德,软件服务,
688025.SH,杰普特,专用机械,
688029.SH,南微医学,医疗保健,
688202.SH,美迪西,医疗保健,
688098.SH,申联生物,农业综合,
688368.SH,晶丰明源,半导体,
688101.SH,三达膜,环境保护,
688299.SH,长阳科技,元器件,
688656.SH,浩欧博,医疗保健,
688369.SH,致远互联,软件服务,
688233.SH,神工股份,半导体,
688399.SH,硕世生物,医疗保健,
688196.SH,卓越新能,环境保护,
688089.SH,嘉必优,食品,
688021.SH,奥福科技,汽车配件,
688357.SH,建龙微纳,化工原料,
688126.SH,沪硅产业,半导体,转融券标的 / 融资融券
688358.SH,祥生医疗,医疗保健,
688128.SH,中国电研,专用机械,
688181.SH,八亿时空,元器件,
688159.SH,有方科技,通信设备,
688111.SH,金山办公,软件服务,转融券标的 / 融资融券
688163.SH,赛伦生物,生物制药,
688051.SH,佳华科技,软件服务,
688298.SH,东方生物,医疗保健,
688310.SH,迈得医疗,医疗保健,
688505.SH,复旦张江,化学制药,
688599.SH,天合光能,电气设备,转融券标的 / 融资融券
688138.SH,清溢光电,半导体,
688466.SH,金科环境,环境保护,
688069.SH,德林海,环境保护,
688026.SH,洁特生物,医疗保健,
688118.SH,普元信息,软件服务,
688090.SH,瑞松科技,专用机械,
688528.SH,秦川物联,电器仪表,
688266.SH,泽璟制药-U,生物制药,
688365.SH,光云科技,软件服务,
688228.SH,开普云,软件服务,
688566.SH,吉贝尔,化学制药,
688189.SH,南新制药,化学制药,
688165.SH,埃夫特-U,专用机械,
688085.SH,三友医疗,医疗保健,
688396.SH,华润微,半导体,集成电路概念 / 转融券标的
688622.SH,*ST禾信,电器仪表,
688360.SH,德马科技,机械基件,
688579.SH,地纬智能,软件服务,
688518.SH,联赢激光,专用机械,
688208.SH,道通科技,IT设备,
688516.SH,奥特维,专用机械,
688500.SH,慧辰股份,互联网,
688081.SH,兴图新科,软件服务,
688096.SH,京源环保,环境保护,
688339.SH,亿华通-U,汽车配件,
688177.SH,百奥泰,生物制药,
688222.SH,成都先导,化学制药,
688318.SH,财富趋势,软件服务,
688037.SH,芯源微,半导体,
688398.SH,赛特新材,矿物制品,
688277.SH,天智航-U,医疗保健,
688200.SH,华峰测控,半导体,
688221.SH,前沿生物-U,生物制药,
688567.SH,孚能科技,电气设备,
688520.SH,神州细胞,生物制药,
688521.SH,芯原股份,半导体,集成电路概念 / 转融券标的
688180.SH,君实生物-U,生物制药,
688312.SH,燕麦科技,专用机械,
688377.SH,迪威尔,专用机械,
688488.SH,艾迪药业,生物制药,
688598.SH,金博股份,矿物制品,
688157.SH,松井股份,染料涂料,
688309.SH,恒誉环保,环境保护,
688156.SH,路德科技,饲料,
688336.SH,三生国健,生物制药,
688286.SH,敏芯股份,半导体,
688356.SH,键凯科技,化学制药,
688004.SH,博汇科技,软件服务,
688558.SH,国盛智科,机床制造,
688418.SH,震有科技,通信设备,
688589.SH,力合微,半导体,
688569.SH,铁科轨道,运输设备,
688586.SH,江航装备,航空,
688077.SH,大地熊,矿物制品,
688229.SH,博睿数据,软件服务,
688065.SH,凯赛生物,化工原料,转融券标的 / 融资融券
688050.SH,爱博医疗,医疗保健,
688106.SH,金宏气体,化工原料,
688379.SH,华光新材,机械基件,
688580.SH,伟思医疗,医疗保健,
688060.SH,云涌科技,IT设备,
688508.SH,芯朋微,半导体,
688600.SH,皖仪科技,电器仪表,
688602.SH,康鹏科技,化工原料,
688311.SH,盟升电子,元器件,
688390.SH,固德威,电气设备,
688155.SH,先惠技术,电气设备,
688577.SH,浙海德曼,机床制造,
688556.SH,高测股份,专用机械,
688585.SH,上纬新材,化工原料,
688338.SH,赛科希德,医疗保健,
688590.SH,新致软件,软件服务,
688393.SH,安必平,医疗保健,
688056.SH,莱伯泰科,电器仪表,
688819.SH,天能股份,电气设备,
688559.SH,海目星,专用机械,
688055.SH,龙腾光电,元器件,
688215.SH,瑞晟智能,专用机械,
688335.SH,复洁科技,环境保护,
688185.SH,康希诺,生物制药,
688289.SH,圣湘生物,医疗保健,
688519.SH,南亚新材,元器件,
688550.SH,瑞联新材,化工原料,
688301.SH,奕瑞科技,医疗保健,
688095.SH,福昕软件,软件服务,
688330.SH,宏力达,电气设备,
688313.SH,仕佳光子,通信设备,
688777.SH,中控技术,专用机械,转融券标的 / 融资融券
688256.SH,DR寒武纪,半导体,阿里巴巴概念 / 转融券标的
688127.SH,蓝特光学,元器件,
688595.SH,芯海科技,半导体,
688551.SH,科威尔,专用机械,
688383.SH,新益昌,专用机械,
688093.SH,世华科技,化工原料,
688386.SH,泛亚微透,化工原料,
688408.SH,中信博,电气设备,
688316.SH,青云科技-U,软件服务,
688596.SH,正帆科技,专用机械,
688378.SH,奥来德,专用机械,
688659.SH,元琛科技,环境保护,
688083.SH,中望软件,软件服务,
688129.SH,东来技术,染料涂料,
688017.SH,绿的谐波,机械基件,转融券标的 / 融资融券
688581.SH,安杰思,医疗保健,
688529.SH,豪森智能,专用机械,
688578.SH,艾力斯,化学制药,转融券标的 / 融资融券
688308.SH,欧科亿,机械基件,
688013.SH,天臣医疗,医疗保健,
688135.SH,利扬芯片,半导体,
688536.SH,思瑞浦,半导体,
688160.SH,步科股份,电器仪表,
688070.SH,纵横股份,航空,
688608.SH,恒玄科技,半导体,阿里巴巴概念 / 转融券标的
688617.SH,惠泰医疗,医疗保健,转融券标的 / 融资融券
688575.SH,亚辉龙,医疗保健,
688557.SH,兰剑智能,专用机械,
688328.SH,深科达,专用机械,
688219.SH,会通股份,塑料,
688677.SH,海泰新光,医疗保健,
688092.SH,爱科科技,专用机械,
688699.SH,明微电子,半导体,
688179.SH,阿拉丁,化学制药,
688195.SH,腾景科技,元器件,
688668.SH,鼎通科技,通信设备,
688658.SH,悦康药业,化学制药,
688665.SH,四方光电,电器仪表,
688698.SH,伟创电气,电气设备,
688510.SH,航亚科技,航空,
688779.SH,五矿新能,电气设备,
688739.SH,成大生物,生物制药,
688669.SH,聚石化学,化工原料,
688696.SH,极米科技,家用电器,
688788.SH,科思科技,通信设备,
688571.SH,杭华股份,染料涂料,
688561.SH,奇安信-U,软件服务,
688560.SH,明冠新材,电气设备,
688136.SH,科兴制药,生物制药,
688191.SH,智洋创新,软件服务,
688676.SH,XD金盘科,电气设备,
688109.SH,品茗科技,软件服务,
688079.SH,美迪凯,元器件,
688607.SH,康众医疗,医疗保健,
688630.SH,芯碁微装,专用机械,
688350.SH,富淼科技,化工原料,
688619.SH,罗普特,软件服务,
688680.SH,海优新材,塑料,
688679.SH,通源环境,环境保护,
688686.SH,奥普特,电器仪表,
688678.SH,福立旺,元器件,
688616.SH,西力科技,电器仪表,
688618.SH,三旺通信,通信设备,
688628.SH,优利德,电器仪表,
688689.SH,银河微电,半导体,
688067.SH,爱威科技,医疗保健,
688131.SH,皓元医药,化学制药,
688687.SH,凯因科技,生物制药,
688063.SH,派能科技,电气设备,
688305.SH,科德数控,机床制造,
688183.SH,生益电子,元器件,首发新股
688606.SH,奥泰生物,医疗保健,
688082.SH,盛美上海,半导体,
688171.SH,纬德信息,软件服务,
688317.SH,之江生物,医疗保健,
688633.SH,星球石墨,专用机械,
688626.SH,翔宇医疗,医疗保健,
688981.SH,中芯国际,半导体,集成电路概念 / 转融券标的
688636.SH,智明达,元器件,
688329.SH,艾隆科技,专用机械,
688661.SH,和林微纳,元器件,
688075.SH,安旭生物,医疗保健,
688609.SH,九联科技,家用电器,
688315.SH,诺禾致源,医疗保健,
688667.SH,菱电电控,汽车配件,
688625.SH,呈和科技,化工原料,
688468.SH,科美诊断,医疗保健,
688345.SH,博力威,电气设备,
688314.SH,康拓医疗,医疗保健,
688733.SH,壹石通,矿物制品,
688639.SH,华恒生物,化学制药,
688565.SH,力源科技,环境保护,
688662.SH,富信科技,元器件,
688226.SH,威腾电气,电气设备,
688260.SH,昀冢科技,元器件,
688161.SH,威高骨科,医疗保健,
688789.SH,宏华数科,专用机械,
688425.SH,铁建重工,工程机械,
688683.SH,莱尔科技,元器件,
688533.SH,上声电子,汽车配件,
688076.SH,ST诺泰,生物制药,
688682.SH,霍莱沃,软件服务,
688690.SH,纳微科技,化工原料,
688148.SH,芳源股份,电气设备,
688517.SH,金冠电气,电气设备,
688132.SH,邦彦技术,通信设备,
688269.SH,凯立新材,化工原料,
688456.SH,有研粉材,铜,
688660.SH,电气风电,电气设备,
688611.SH,杭州柯林,电气设备,
688613.SH,奥精医疗,医疗保健,
688584.SH,上海合晶,半导体,
688501.SH,青达环保,环境保护,
688147.SH,微导纳米,专用机械,
688280.SH,精进电动-W,汽车配件,
