ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volume_ratio,turnover_rate,turnover_rate_f
688322.SH,2024-05-10,27.7,27.8,26.58,26.7,27.66,-0.96,-3.4707,32090.11,86268.916,0.75,1.2561,1.8938
688322.SH,2024-05-13,26.56,26.56,25.5,25.71,26.7,-0.99,-3.7079,41167.45,106853.504,1.02,1.6115,2.4295
688322.SH,2024-05-14,26.16,27.51,26.0,26.73,25.71,1.02,3.9673,47182.76,126510.033,1.18,1.8469,2.7845
688322.SH,2024-05-15,26.51,27.21,26.36,26.6,26.73,-0.13,-0.4863,40172.75,107770.025,1.0,1.5725,2.3708
688322.SH,2024-05-16,26.99,27.35,26.4,26.4,26.6,-0.2,-0.7519,31261.67,83615.305,0.8,1.2237,1.8449
688322.SH,2024-05-17,26.74,27.1,26.21,27.1,26.4,0.7,2.6515,33931.05,90684.443,0.88,1.3282,2.0024
688322.SH,2024-05-20,26.81,27.39,26.59,26.87,27.1,-0.23,-0.8487,38486.13,103664.797,0.99,1.5065,2.2713
688322.SH,2024-05-21,26.58,26.95,26.3,26.54,26.87,-0.33,-1.2281,25114.8,66706.157,0.66,0.9831,1.4821
688322.SH,2024-05-22,26.5,27.11,26.4,27.04,26.54,0.5,1.8839,29515.41,79101.465,0.87,1.1554,1.7419
688322.SH,2024-05-23,26.76,27.0,26.02,26.13,27.04,-0.91,-3.3654,34841.96,91948.011,1.1,1.3639,2.0562
688322.SH,2024-05-24,26.12,26.31,25.06,25.24,26.13,-0.89,-3.406,34029.68,86930.466,1.05,1.3321,2.0083
688322.SH,2024-05-27,25.32,25.72,24.57,25.65,25.24,0.41,1.6244,27266.13,68274.656,0.84,1.0673,1.6091
688322.SH,2024-05-28,25.5,26.2,25.25,25.52,25.65,-0.13,-0.5068,22798.53,58689.053,0.76,0.8924,1.3455
688322.SH,2024-05-29,25.53,25.9,25.18,25.3,25.52,-0.22,-0.8621,17265.16,44042.162,0.58,0.6758,1.0189
688322.SH,2024-05-30,25.04,27.14,24.72,26.46,25.3,1.16,4.585,49134.22,128546.499,1.8,1.9233,2.8997
688322.SH,2024-05-31,26.52,27.59,26.3,27.17,26.46,0.71,2.6833,49272.52,133589.083,1.64,1.9287,2.9078
688322.SH,2024-06-03,27.19,28.1,26.71,28.0,27.17,0.83,3.0548,63520.95,174815.406,1.92,2.4865,3.7487
688322.SH,2024-06-04,27.7,27.82,26.86,27.21,28.0,-0.79,-2.8214,36278.83,98563.958,0.9,1.4201,2.141
688322.SH,2024-06-05,27.01,29.93,27.01,28.53,27.21,1.32,4.8512,94449.32,271637.368,2.19,3.6972,5.5739
688322.SH,2024-06-06,28.61,28.73,26.76,26.84,28.53,-1.69,-5.9236,66755.11,184114.388,1.14,2.6131,3.9396
688322.SH,2024-06-07,27.38,27.74,26.23,26.6,26.84,-0.24,-0.8942,35451.43,95081.483,0.57,1.3877,2.0922
688322.SH,2024-06-11,26.2,27.15,25.53,27.11,26.6,0.51,1.9173,33826.29,89533.734,0.57,1.3241,1.9963
688322.SH,2024-06-12,27.25,28.28,27.25,27.5,27.11,0.39,1.4386,37928.23,105567.606,0.71,1.4847,2.2383
688322.SH,2024-06-13,27.86,28.38,27.05,27.91,27.5,0.41,1.4909,45449.91,126370.855,0.85,1.7791,2.6822
688322.SH,2024-06-14,27.91,28.16,27.41,27.75,27.91,-0.16,-0.5733,34974.41,97050.313,0.8,1.3691,2.064
688322.SH,2024-06-17,27.24,28.54,27.24,28.08,27.75,0.33,1.1892,37787.31,106428.652,1.01,1.4792,2.23
688322.SH,2024-06-18,28.01,28.6,27.86,28.5,28.08,0.42,1.4957,33033.04,93608.798,0.87,1.2931,1.9494
688322.SH,2024-06-19,28.44,28.8,27.69,27.69,28.5,-0.81,-2.8421,31489.31,88352.391,0.83,1.2326,1.8583
688322.SH,2024-06-20,27.7,28.68,27.52,27.61,27.69,-0.08,-0.2889,42015.52,118118.179,1.15,1.6447,2.4795
688322.SH,2024-06-21,27.8,27.81,26.88,27.33,27.61,-0.28,-1.0141,26645.63,72712.591,0.74,1.043,1.5725
